persona,question,average_score,standard_deviation
9,22,4.0,0.0
9,23,3.4,0.5163977794943223
9,24,2.2,0.4216370213557839
9,25,2.0,0.0
9,26,2.0,0.0
9,27,3.0,0.0
9,28,2.4,0.5163977794943223
9,29,3.1,0.31622776601683794
9,30,2.0,0.0
10,1,4.0,0.0
10,2,4.0,0.0
10,3,4.0,0.0
10,4,3.0,0.0
10,5,4.0,0.0
10,6,4.0,0.0
10,7,4.0,0.0
10,8,4.0,0.0
10,9,4.0,0.0
10,10,4.0,0.0
10,11,4.0,0.0
10,12,4.0,0.0
10,13,4.0,0.0
10,14,4.0,0.0
10,15,4.0,0.0
10,16,4.0,0.0
10,17,4.1,0.31622776601683794
10,18,4.0,0.0
10,19,4.0,0.0
10,20,4.0,0.0
10,21,5.0,0.0
10,22,4.0,0.0
10,23,4.0,0.0
10,24,2.0,0.0
10,25,2.0,0.0
10,26,2.3,0.9486832980505138
10,27,4.0,0.0
10,28,4.0,0.0
10,29,4.0,0.0
10,30,4.0,0.0
11,1,4.0,0.0
11,2,4.0,0.0
11,3,4.0,0.0
11,4,2.6,0.5163977794943223
11,5,3.0,0.0
11,6,4.0,0.0
11,7,4.0,0.0
11,8,4.0,0.0
11,9,3.0,0.0
11,10,4.0,0.0
11,11,4.0,0.0
11,12,4.0,0.0
11,13,3.0,0.0
11,14,4.0,0.0
11,15,3.0,0.0
11,16,4.0,0.0
11,17,4.0,0.0
11,18,2.7,0.48304589153964794
11,19,3.0,0.0
11,20,2.2,0.4216370213557839
11,21,4.0,0.0
11,22,4.0,0.0
11,23,4.0,0.0
11,24,2.0,0.0
11,25,2.0,0.0
11,26,2.0,0.0
11,27,3.0,0.0
11,28,3.3,0.48304589153964794
11,29,4.0,0.0
11,30,2.0,0.0
12,1,5.0,0.0
12,2,5.0,0.0
12,3,4.0,0.0
12,4,4.0,0.0
12,5,4.0,0.0
12,6,5.0,0.0
12,7,5.0,0.0
12,8,4.0,0.0
12,9,4.0,0.0
12,10,4.0,0.0
12,11,4.6,0.5163977794943222
12,12,5.0,0.0
12,13,4.0,0.0
12,14,4.0,0.0
12,15,4.7,0.48304589153964794
12,16,5.0,0.0
12,17,5.0,0.0
12,18,4.0,0.0
12,19,4.0,0.0
12,20,4.9,0.31622776601683794
12,21,5.0,0.0
12,22,5.0,0.0
12,23,4.0,0.0
12,24,3.5,0.5270462766947299
12,25,2.0,0.0
12,26,3.6,0.8432740427115679
12,27,4.0,0.0
12,28,4.0,0.0
12,29,4.0,0.0
12,30,5.0,0.0
13,1,4.0,0.0
13,2,4.0,0.0
13,3,4.0,0.0
13,4,3.7,0.48304589153964794
13,5,4.0,0.0
13,6,4.1,0.31622776601683794
13,7,4.0,0.0
13,8,4.0,0.0
13,9,4.0,0.0
13,10,4.0,0.0
13,11,4.0,0.0
13,12,4.0,0.0
13,13,4.0,0.0
13,14,4.0,0.0
13,15,4.0,0.0
13,16,5.0,0.0
13,17,4.2,0.4216370213557839
13,18,4.0,0.0
13,19,4.0,0.0
13,20,4.0,0.0
13,21,5.0,0.0
13,22,4.0,0.0
13,23,4.0,0.0
13,24,2.0,0.0
13,25,2.0,0.0
13,26,4.0,0.0
13,27,4.0,0.0
13,28,4.0,0.0
13,29,3.7,0.48304589153964794
13,30,3.0,0.0
14,1,5.0,0.0
14,2,5.0,0.0
14,3,4.6,0.5163977794943222
14,4,4.0,0.0
14,5,4.7,0.48304589153964794
14,6,5.0,0.0
14,7,5.0,0.0
14,8,5.0,0.0
14,9,4.0,0.0
14,10,5.0,0.0
14,11,5.0,0.0
14,12,5.0,0.0
14,13,5.0,0.0
14,14,5.0,0.0
14,15,5.0,0.0
14,16,5.0,0.0
14,17,5.0,0.0
14,18,4.9,0.31622776601683794
14,19,4.0,0.0
14,20,5.0,0.0
14,21,5.0,0.0
14,22,5.0,0.0
14,23,5.0,0.0
14,24,2.3,0.9486832980505138
14,25,1.1,0.8755950357709131
14,26,2.5,2.6352313834736494
14,27,4.0,0.0
14,28,4.0,0.0
14,29,5.0,0.0
14,30,2.0,0.0
15,1,4.0,0.0
15,2,4.0,0.0
15,3,4.0,0.0
15,4,3.0,0.0
15,5,3.4,0.5163977794943223
15,6,4.0,0.0
15,7,4.0,0.0
15,8,4.0,0.0
15,9,3.4,0.5163977794943223
15,10,3.7,0.48304589153964794
15,11,4.0,0.0
15,12,4.0,0.0
15,13,3.1,0.31622776601683794
15,14,4.0,0.0
15,15,4.0,0.0
15,16,4.0,0.0
15,17,4.0,0.0
15,18,4.0,0.0
15,19,4.0,0.0
15,20,3.0,0.0
15,21,4.7,0.48304589153964794
15,22,4.0,0.0
15,23,4.0,0.0
15,24,2.0,0.0
15,25,2.0,0.0
15,26,2.0,0.0
15,27,3.0,0.0
15,28,4.0,0.0
15,29,4.0,0.0
15,30,4.0,0.0
16,1,2.0,0.0
16,2,2.0,0.0
16,3,2.0,0.0
16,4,2.0,0.0
16,5,2.0,0.0
16,6,2.0,0.0
16,7,2.0,0.0
16,8,2.0,0.0
16,9,2.0,0.0
16,10,2.0,0.0
16,11,2.0,0.0
16,12,2.0,0.0
16,13,2.0,0.0
16,14,2.0,0.0
16,15,2.0,0.0
16,16,2.0,0.0
16,17,2.0,0.0
16,18,2.0,0.0
16,19,2.0,0.0
16,20,2.0,0.0
16,21,3.0,1.0540925533894598
16,22,2.0,0.0
16,23,2.0,0.0
16,24,2.0,0.0
16,25,2.0,0.0
16,26,2.0,0.0
16,27,2.0,0.0
16,28,2.0,0.0
16,29,2.0,0.0
16,30,2.0,0.0
17,1,4.0,0.0
17,2,5.0,0.0
17,3,4.0,0.0
17,4,4.0,0.0
17,5,4.0,0.0
17,6,5.0,0.0
17,7,4.2,0.4216370213557839
17,8,4.0,0.0
17,9,4.0,0.0
17,10,4.0,0.0
17,11,4.9,0.31622776601683794
17,12,4.0,0.0
17,13,4.0,0.0
17,14,4.0,0.0
17,15,4.0,0.0
17,16,5.0,0.0
17,17,5.0,0.0
17,18,4.0,0.0
17,19,4.0,0.0
17,20,4.0,0.0
17,21,5.0,0.0
17,22,4.0,0.0
17,23,4.0,0.0
17,24,1.8,0.6324555320336759
17,25,1.4,0.5163977794943223
17,26,1.4,0.9660917830792959
17,27,3.5,0.5270462766947299
17,28,4.0,0.0
17,29,2.8,0.4216370213557839
17,30,3.0,0.0
18,1,4.0,0.0
18,2,5.0,0.0
18,3,4.0,0.0
18,4,4.0,0.0
18,5,4.0,0.0
18,6,5.0,0.0
18,7,5.0,0.0
18,8,4.0,0.0
18,9,2.2,0.6324555320336759
18,10,4.0,0.0
18,11,4.0,0.0
18,12,5.0,0.0
18,13,4.0,0.0
18,14,4.5,0.5270462766947299
18,15,4.0,0.0
18,16,4.2,0.4216370213557839
18,17,5.0,0.0
18,18,4.0,0.0
18,19,4.0,0.0
18,20,4.0,0.0
18,21,5.0,0.0
18,22,4.0,0.0
18,23,4.0,0.0
18,24,2.0,0.0
18,25,2.4,0.5163977794943223
18,26,4.3,0.48304589153964794
18,27,4.0,0.0
18,28,4.0,0.0
18,29,4.0,0.0
18,30,4.0,0.0
19,1,4.0,0.0
19,2,4.0,0.0
19,3,4.0,0.0
19,4,4.0,0.0
19,5,4.0,0.0
19,6,5.0,0.0
19,7,4.0,0.0
19,8,4.0,0.0
19,9,4.0,0.0
19,10,4.0,0.0
19,11,4.0,0.0
19,12,5.0,0.0
19,13,4.0,0.0
19,14,4.0,0.0
19,15,4.0,0.0
19,16,5.0,0.0
19,17,4.2,0.4216370213557839
19,18,4.2,0.4216370213557839
19,19,4.0,0.0
19,20,4.0,0.0
19,21,5.0,0.0
19,22,5.0,0.0
19,23,4.0,0.0
19,24,3.5,0.5270462766947299
19,25,2.3,0.48304589153964794
19,26,5.0,0.0
19,27,4.0,0.0
19,28,4.0,0.0
19,29,4.0,0.0
19,30,4.0,0.0
20,1,4.0,0.0
20,2,4.0,0.0
20,3,4.0,0.0
20,4,2.8,0.4216370213557839
20,5,4.0,0.0
20,6,4.0,0.0
20,7,4.0,0.0
20,8,4.0,0.0
20,9,4.0,0.0
20,10,4.0,0.0
20,11,4.0,0.0
20,12,4.0,0.0
20,13,4.0,0.0
20,14,4.0,0.0
20,15,4.0,0.0
20,16,4.0,0.0
20,17,4.0,0.0
20,18,4.0,0.0
20,19,4.0,0.0
20,20,4.0,0.0
20,21,5.0,0.0
20,22,4.0,0.0
20,23,4.0,0.0
20,24,2.0,0.0
20,25,1.4,0.5163977794943223
20,26,4.0,2.1081851067789197
20,27,2.0,0.0
20,28,4.0,0.0
20,29,4.0,0.0
20,30,4.0,0.0
21,1,4.0,0.0
21,2,4.0,0.0
21,3,4.0,0.0
21,4,3.9,0.31622776601683794
21,5,4.0,0.0
21,6,4.0,0.0
21,7,4.0,0.0
21,8,4.0,0.0
21,9,4.0,0.0
21,10,4.0,0.0
21,11,4.0,0.0
21,12,4.0,0.0
21,13,4.0,0.0
21,14,4.0,0.0
21,15,4.0,0.0
21,16,4.0,0.0
21,17,4.0,0.0
21,18,4.0,0.0
21,19,4.0,0.0
21,20,4.0,0.0
21,21,4.8,0.4216370213557839
21,22,4.0,0.0
21,23,4.0,0.0
21,24,3.0,0.0
21,25,3.0,0.0
21,26,2.0,0.0
21,27,4.0,0.0
21,28,4.0,0.0
21,29,4.0,0.0
21,30,4.0,0.0
22,1,4.0,0.0
22,2,4.0,0.0
22,3,3.0,0.0
22,4,3.0,0.0
22,5,3.0,0.0
22,6,4.0,0.0
22,7,4.0,0.0
22,8,4.0,0.0
22,9,2.3,0.48304589153964794
22,10,4.0,0.0
22,11,4.0,0.0
22,12,4.0,0.0
22,13,3.0,0.0
22,14,4.0,0.0
22,15,4.0,0.0
22,16,4.0,0.0
22,17,4.0,0.0
22,18,4.0,0.0
22,19,4.0,0.0
22,20,3.0,0.0
22,21,5.0,0.0
22,22,4.0,0.0
22,23,4.0,0.0
22,24,2.0,0.0
22,25,2.0,0.0
22,26,2.0,0.0
22,27,2.9,0.31622776601683794
22,28,4.0,0.0
22,29,4.0,0.0
22,30,3.0,0.0
23,1,4.0,0.0
23,2,4.0,0.0
23,3,4.0,0.0
23,4,3.0,0.0
23,5,4.0,0.0
23,6,4.3,0.48304589153964794
23,7,4.0,0.0
23,8,4.0,0.0
23,9,4.0,0.0
23,10,4.0,0.0
23,11,4.0,0.0
23,12,4.6,0.5163977794943222
23,13,4.0,0.0
23,14,4.0,0.0
23,15,4.0,0.0
23,16,5.0,0.0
23,17,4.6,0.5163977794943222
23,18,4.0,0.0
23,19,4.0,0.0
23,20,4.0,0.0
23,21,5.0,0.0
23,22,4.0,0.0
23,23,4.0,0.0
23,24,2.0,0.0
23,25,2.0,0.0
23,26,5.0,0.0
23,27,3.3,0.48304589153964794
23,28,4.0,0.0
23,29,4.0,0.0
23,30,3.8,0.4216370213557839
24,1,5.0,0.0
24,2,5.0,0.0
24,3,4.0,0.0
24,4,4.0,0.0
24,5,4.0,0.0
24,6,5.0,0.0
24,7,5.0,0.0
24,8,4.0,0.0
24,9,4.0,0.0
24,10,4.0,0.0
24,11,4.0,0.0
24,12,5.0,0.0
24,13,4.0,0.0
24,14,4.0,0.0
24,15,4.0,0.0
24,16,5.0,0.0
24,17,5.0,0.0
24,18,4.0,0.0
24,19,5.0,0.0
24,20,4.6,0.5163977794943222
24,21,5.0,0.0
24,22,4.0,0.0
24,23,4.0,0.0
24,24,3.9,0.31622776601683794
24,25,2.0,0.0
24,26,4.0,0.0
24,27,4.0,0.0
24,28,4.0,0.0
24,29,4.0,0.0
24,30,4.0,0.0
25,1,4.0,0.0
25,2,4.0,0.0
25,3,3.0,1.0540925533894598
25,4,3.0,1.0540925533894598
25,5,4.4,0.5163977794943222
25,6,4.1,0.31622776601683794
25,7,4.0,0.0
25,8,4.0,0.0
25,9,4.2,0.4216370213557839
25,10,4.0,0.0
25,11,4.0,0.0
25,12,4.0,0.0
25,13,4.0,0.0
25,14,4.0,0.0
25,15,5.0,0.0
25,16,4.0,0.0
25,17,4.0,0.0
25,18,4.0,0.0
25,19,5.0,0.0
25,20,2.2,0.6324555320336759
25,21,5.0,0.0
25,22,4.0,0.0
25,23,4.0,0.0
25,24,5.0,0.0
25,25,2.0,0.0
25,26,4.5,1.5811388300841898
25,27,2.0,0.0
25,28,1.0,1.0540925533894598
25,29,2.6,1.2649110640673518
25,30,5.0,0.0
27,1,4.0,0.0
27,2,4.0,0.0
27,3,2.0,0.0
27,4,4.0,0.0
27,5,4.0,0.0
27,6,4.0,0.0
27,7,4.1,0.31622776601683794
27,8,4.0,0.0
27,9,4.0,0.0
27,10,4.0,0.0
27,11,4.0,0.0
27,12,5.0,0.0
27,13,4.0,0.0
27,14,4.0,0.0
27,15,4.0,0.0
27,16,4.0,0.0
27,17,4.0,0.0
27,18,2.0,0.0
27,19,4.0,0.0
27,20,3.6,0.8432740427115679
27,21,4.0,0.0
27,22,5.0,0.0
27,23,4.0,0.0
27,24,2.0,0.0
27,25,2.0,0.0
27,26,2.8,1.0327955589886446
27,27,4.0,0.0
27,28,4.0,0.0
27,29,2.0,0.0
27,30,2.0,0.0
28,1,4.0,0.0
28,2,4.0,0.0
28,3,4.0,0.0
28,4,3.0,0.0
28,5,4.0,0.0
28,6,4.0,0.0
28,7,4.0,0.0
28,8,4.0,0.0
28,9,4.0,0.0
28,10,4.0,0.0
28,11,4.0,0.0
28,12,4.0,0.0
28,13,4.0,0.0
28,14,4.0,0.0
28,15,4.0,0.0
28,16,4.0,0.0
28,17,4.0,0.0
28,18,4.0,0.0
28,19,4.0,0.0
28,20,4.0,0.0
28,21,5.0,0.0
28,22,4.0,0.0
28,23,4.0,0.0
28,24,3.2,0.4216370213557839
28,25,3.0,0.0
28,26,2.2,0.4216370213557839
28,27,3.0,0.0
28,28,4.0,0.0
28,29,4.0,0.0
28,30,4.0,0.0
30,1,4.0,0.0
30,2,4.0,0.0
30,3,4.0,0.0
30,4,3.9,0.31622776601683794
30,5,4.0,0.0
30,6,4.0,0.0
30,7,5.0,0.0
30,8,4.0,0.0
30,9,4.0,0.0
30,10,4.0,0.0
30,11,4.0,0.0
30,12,4.6,0.5163977794943222
30,13,4.0,0.0
30,14,4.0,0.0
30,15,4.0,0.0
30,16,4.0,0.0
30,17,5.0,0.0
30,18,4.0,0.0
30,19,4.0,0.0
30,20,4.0,0.0
30,21,4.0,0.0
30,22,5.0,0.0
30,23,2.0,0.0
30,24,2.0,0.0
30,25,2.0,0.0
30,26,3.5,2.41522945769824
30,27,3.0,0.0
30,28,4.0,0.0
30,29,3.6,0.8432740427115678
30,30,0.6,0.9660917830792958
31,1,4.0,0.0
31,2,4.0,0.0
31,3,4.0,0.0
31,4,3.0,0.0
31,5,4.0,0.0
31,6,4.0,0.0
31,7,4.0,0.0
31,8,4.0,0.0
31,9,4.0,0.0
31,10,4.0,0.0
31,11,4.0,0.0
31,12,4.0,0.0
31,13,4.0,0.0
31,14,4.0,0.0
31,15,4.0,0.0
31,16,5.0,0.0
31,17,4.1,0.31622776601683794
31,18,4.0,0.0
31,19,4.0,0.0
31,20,4.0,0.0
31,21,5.0,0.0
31,22,4.0,0.0
31,23,4.0,0.0
31,24,2.0,0.0
31,25,2.0,0.0
31,26,2.0,0.0
31,27,4.0,0.0
31,28,4.0,0.0
31,29,4.0,0.0
31,30,3.0,0.0
32,1,3.0,0.0
32,2,4.0,0.0
32,3,4.0,0.0
32,4,2.0,0.0
32,5,4.0,0.0
32,6,4.0,0.0
32,7,4.0,0.0
32,8,4.0,0.0
32,9,2.0,0.0
32,10,4.0,0.0
32,11,4.0,0.0
32,12,4.0,0.0
32,13,2.9,0.31622776601683794
32,14,4.0,0.0
32,15,4.0,0.0
32,16,4.5,0.5270462766947299
32,17,5.0,0.0
32,18,4.0,0.0
32,19,4.0,0.0
32,20,4.0,0.0
32,21,5.0,0.0
32,22,4.0,0.0
32,23,4.0,0.0
32,24,2.0,0.0
32,25,2.0,0.0
32,26,3.0,0.9428090415820634
32,27,3.2,0.4216370213557839
32,28,4.0,0.0
32,29,4.0,0.0
32,30,3.0,0.0
33,1,4.0,0.0
33,2,4.0,0.0
33,3,4.0,0.0
33,4,4.0,0.0
33,5,4.0,0.0
33,6,4.0,0.0
33,7,4.0,0.0
33,8,4.0,0.0
33,9,4.0,0.0
33,10,4.0,0.0
33,11,4.0,0.0
33,12,4.0,0.0
33,13,4.0,0.0
33,14,4.0,0.0
33,15,4.0,0.0
33,16,4.0,0.0
33,17,4.0,0.0
33,18,4.0,0.0
33,19,4.0,0.0
33,20,4.0,0.0
33,21,5.0,0.0
33,22,4.0,0.0
33,23,4.0,0.0
33,24,3.0,0.0
33,25,3.0,0.0
33,26,2.0,0.0
33,27,3.0,0.0
33,28,4.0,0.0
33,29,3.2,0.4216370213557839
33,30,4.0,0.0
34,1,4.0,0.0
34,2,4.0,0.0
34,3,4.0,0.0
34,4,2.0,0.0
34,5,3.6,0.6992058987801011
34,6,4.0,0.0
34,7,4.0,0.0
34,8,4.0,0.0
34,9,2.6,0.9660917830792958
34,10,4.0,0.0
34,11,4.0,0.0
34,12,4.0,0.0
34,13,2.6,0.5163977794943223
34,14,4.0,0.0
34,15,4.0,0.0
34,16,4.0,0.0
34,17,4.0,0.0
34,18,4.0,0.0
34,19,2.5,0.7071067811865476
34,20,2.0,0.0
34,21,5.0,0.0
34,22,4.0,0.0
34,23,4.0,0.0
34,24,2.0,0.0
34,25,2.0,0.0
34,26,0.0,0.0
34,27,2.0,0.0
34,28,4.0,0.0
34,29,2.9,0.31622776601683794
34,30,2.0,0.0
35,1,4.0,0.0
35,2,4.0,0.0
35,3,3.0,0.0
35,4,4.0,0.0
35,5,4.0,0.0
35,6,4.0,0.0
35,7,4.0,0.0
35,8,4.0,0.0
35,9,4.0,0.0
35,10,4.0,0.0
35,11,4.0,0.0
35,12,4.0,0.0
35,13,4.0,0.0
35,14,4.0,0.0
35,15,4.0,0.0
35,16,4.0,0.0
35,17,4.0,0.0
35,18,3.0,0.0
35,19,3.5,0.5270462766947299
35,20,3.2,0.4216370213557839
35,21,4.0,0.0
35,22,3.0,0.0
35,23,3.9,0.31622776601683794
35,24,3.5,0.5270462766947299
35,25,2.9,0.31622776601683794
35,26,3.0,0.0
35,27,3.0,0.0
35,28,3.3,0.48304589153964794
35,29,2.8,0.4216370213557839
35,30,3.0,0.0
36,1,4.0,0.0
36,2,4.0,0.0
36,3,4.0,0.0
36,4,4.0,0.0
36,5,4.0,0.0
36,6,4.0,0.0
36,7,4.0,0.0
36,8,4.0,0.0
36,9,4.0,0.0
36,10,4.0,0.0
36,11,4.0,0.0
36,12,4.0,0.0
36,13,4.0,0.0
36,14,4.0,0.0
36,15,4.0,0.0
36,16,4.0,0.0
36,17,4.0,0.0
36,18,3.0,0.0
36,19,4.0,0.0
36,20,4.0,0.0
36,21,4.9,0.31622776601683794
36,22,4.0,0.0
36,23,4.0,0.0
36,24,4.0,0.0
36,25,2.0,0.0
36,26,2.0,0.0
36,27,4.0,0.0
36,28,3.5,0.5270462766947299
36,29,4.0,0.0
36,30,3.1,0.31622776601683794
37,1,4.0,0.0
37,2,5.0,0.0
37,3,4.0,0.0
37,4,4.0,0.0
37,5,4.0,0.0
37,6,5.0,0.0
37,7,4.1,0.31622776601683794
37,8,4.0,0.0
37,9,4.0,0.0
37,10,4.0,0.0
37,11,4.0,0.0
37,12,4.0,0.0
37,13,4.0,0.0
37,14,4.0,0.0
37,15,4.0,0.0
37,16,5.0,0.0
37,17,5.0,0.0
37,18,4.0,0.0
37,19,4.0,0.0
37,20,4.0,0.0
37,21,5.0,0.0
37,22,4.0,0.0
37,23,4.0,0.0
37,24,2.0,0.0
37,25,2.0,0.0
37,26,4.1,0.31622776601683794
37,27,4.0,0.0
37,28,4.0,0.0
37,29,4.0,0.0
37,30,4.0,0.0
38,1,4.0,0.0
38,2,4.8,0.4216370213557839
38,3,4.0,0.0
38,4,4.0,0.0
38,5,4.0,0.0
38,6,5.0,0.0
38,7,5.0,0.0
38,8,4.0,0.0
38,9,4.0,0.0
38,10,4.0,0.0
38,11,4.0,0.0
38,12,5.0,0.0
38,13,4.0,0.0
38,14,4.0,0.0
38,15,4.0,0.0
38,16,5.0,0.0
38,17,5.0,0.0
38,18,4.0,0.0
38,19,4.0,0.0
38,20,4.0,0.0
38,21,5.0,0.0
38,22,4.0,0.0
38,23,4.0,0.0
38,24,2.9,0.31622776601683794
38,25,3.0,0.0
38,26,3.0,0.0
38,27,3.2,0.4216370213557839
38,28,4.0,0.0
38,29,4.0,0.0
38,30,4.0,0.0
39,1,4.0,0.0
39,2,4.0,0.0
39,3,4.0,0.0
39,4,4.0,0.0
39,5,4.0,0.0
39,6,4.0,0.0
39,7,4.0,0.0
39,8,4.0,0.0
39,9,4.0,0.0
39,10,4.0,0.0
39,11,4.0,0.0
39,12,4.2,0.4216370213557839
39,13,4.0,0.0
39,14,4.0,0.0
39,15,4.0,0.0
39,16,4.0,0.0
39,17,4.1,0.31622776601683794
39,18,4.0,0.0
39,19,4.0,0.0
39,20,4.0,0.0
39,21,4.0,0.0
39,22,4.0,0.0
39,23,3.5,0.5270462766947299
39,24,2.1,0.31622776601683794
39,25,2.0,0.0
39,26,2.0,0.0
39,27,4.0,0.0
39,28,4.0,0.0
39,29,4.0,0.0
39,30,3.3,0.48304589153964794
40,1,4.0,0.0
40,2,4.0,0.0
40,3,2.0,0.0
40,4,3.8,0.6324555320336759
40,5,4.0,0.0
40,6,4.0,0.0
40,7,4.0,0.0
40,8,4.0,0.0
40,9,1.0,1.0540925533894598
40,10,4.0,0.0
40,11,4.0,0.0
40,12,4.0,0.0
40,13,3.8,0.6324555320336759
40,14,4.0,0.0
40,15,2.0,0.0
40,16,4.0,0.0
40,17,4.0,0.0
40,18,3.0,0.0
40,19,4.0,0.0
