persona,question,average_score,standard_deviation
12,24,3.0,0.0
12,25,2.0,0.0
12,26,5.0,0.0
12,27,5.0,0.0
12,28,4.0,0.0
12,29,0.2,0.42163702135578396
12,30,3.7,0.48304589153964794
13,1,5.0,0.0
13,2,5.0,0.0
13,3,2.9,0.31622776601683794
13,4,3.0,0.0
13,5,3.0,0.0
13,6,5.0,0.0
13,7,4.5,0.5270462766947299
13,8,4.0,0.0
13,9,2.0,0.0
13,10,3.2,0.4216370213557839
13,11,5.0,0.0
13,12,5.0,0.0
13,13,3.8,0.4216370213557839
13,14,4.0,0.0
13,15,0.0,0.0
13,16,5.0,0.0
13,17,5.0,0.0
13,18,3.0,0.0
13,19,1.4,0.5163977794943223
13,20,2.0,0.0
13,21,5.0,0.0
13,22,5.0,0.0
13,23,3.0,0.0
13,24,0.0,0.0
13,25,2.0,0.0
13,26,5.0,0.0
13,27,5.0,0.0
13,28,2.0,0.0
13,29,0.0,0.0
13,30,0.0,0.0
14,1,4.0,0.0
14,2,4.9,0.31622776601683794
14,3,4.0,0.0
14,4,3.6,0.5163977794943223
14,5,3.9,0.31622776601683794
14,6,5.0,0.0
14,7,5.0,0.0
14,8,5.0,0.0
14,9,3.1,0.31622776601683794
14,10,4.0,0.0
14,11,5.0,0.0
14,12,5.0,0.0
14,13,5.0,0.0
14,14,4.7,0.48304589153964794
14,15,3.6,0.5163977794943223
14,16,5.0,0.0
14,17,5.0,0.0
14,18,5.0,0.0
14,19,4.0,0.0
14,20,3.2,0.4216370213557839
14,21,5.0,0.0
14,22,5.0,0.0
14,23,4.0,0.0
14,24,0.0,0.0
14,25,2.9,0.31622776601683794
14,26,5.0,0.0
14,27,4.0,0.0
14,28,5.0,0.0
14,29,0.0,0.0
14,30,3.0,0.0
15,1,4.0,0.0
15,2,4.0,0.0
15,3,3.0,0.0
15,4,3.0,0.0
15,5,3.0,0.0
15,6,4.7,0.48304589153964794
15,7,4.0,0.0
15,8,4.0,0.0
15,9,3.0,0.0
15,10,3.0,0.0
15,11,4.0,0.0
15,12,5.0,0.0
15,13,3.0,0.0
15,14,4.0,0.0
15,15,3.0,0.0
15,16,5.0,0.0
15,17,5.0,0.0
15,18,4.0,0.0
15,19,4.0,0.0
15,20,4.0,0.0
15,21,5.0,0.0
15,22,4.0,0.0
15,23,3.0,0.0
15,24,2.0,0.0
15,25,2.0,0.0
15,26,5.0,0.0
15,27,4.0,0.0
15,28,4.0,0.0
15,29,1.0,0.0
15,30,3.0,0.0
16,1,3.1,0.31622776601683794
16,2,4.0,0.0
16,3,3.0,0.0
16,4,3.0,0.0
16,5,3.0,0.0
16,6,4.0,0.0
16,7,3.8,0.4216370213557839
16,8,3.0,0.0
16,9,3.0,0.0
16,10,3.5,0.5270462766947299
16,11,4.1,0.31622776601683794
16,12,5.0,0.0
16,13,3.0,0.0
16,14,3.0,0.0
16,15,3.0,0.0
16,16,4.4,0.5163977794943222
16,17,4.8,0.4216370213557839
16,18,2.0,0.0
16,19,2.0,0.0
16,20,2.1,0.31622776601683794
16,21,5.0,0.0
16,22,4.0,0.0
16,23,1.6,0.5163977794943223
16,24,0.0,0.0
16,25,2.0,0.0
16,26,4.6,0.5163977794943222
16,27,4.0,0.0
16,28,2.0,0.0
16,29,1.0,0.0
16,30,1.9,0.31622776601683794
17,1,5.0,0.0
17,2,5.0,0.0
17,3,4.0,0.0
17,4,3.0,0.0
17,5,4.0,0.0
17,6,5.0,0.0
17,7,4.0,0.0
17,8,4.0,0.0
17,9,3.0,0.0
17,10,3.6,0.5163977794943223
17,11,5.0,0.0
17,12,5.0,0.0
17,13,4.0,0.0
17,14,4.0,0.0
17,15,4.0,0.0
17,16,5.0,0.0
17,17,5.0,0.0
17,18,4.4,0.5163977794943222
17,19,4.0,0.0
17,20,4.0,0.0
17,21,5.0,0.0
17,22,5.0,0.0
17,23,4.0,0.0
17,24,2.4,0.5163977794943223
17,25,2.7,0.48304589153964794
17,26,5.0,0.0
17,27,5.0,0.0
17,28,4.0,0.0
17,29,2.0,0.0
17,30,3.0,0.0
18,1,4.0,0.0
18,2,5.0,0.0
18,3,4.0,0.0
18,4,3.0,0.0
18,5,3.0,0.0
18,6,4.9,0.31622776601683794
18,7,4.0,0.0
18,8,4.0,0.0
18,9,3.0,0.0
18,10,3.8,0.4216370213557839
18,11,5.0,0.0
18,12,5.0,0.0
18,13,3.4,0.5163977794943223
18,14,4.0,0.0
18,15,3.9,0.31622776601683794
18,16,5.0,0.0
18,17,5.0,0.0
18,18,4.0,0.0
18,19,4.0,0.0
18,20,3.5,0.5270462766947299
18,21,5.0,0.0
18,22,5.0,0.0
18,23,4.0,0.0
18,24,0.0,0.0
18,25,2.4,0.5163977794943223
18,26,5.0,0.0
18,27,5.0,0.0
18,28,4.0,0.0
18,29,2.5,0.5270462766947299
18,30,3.0,0.0
19,1,5.0,0.0
19,2,5.0,0.0
19,3,4.0,0.0
19,4,3.0,0.0
19,5,4.0,0.0
19,6,5.0,0.0
19,7,4.0,0.0
19,8,4.0,0.0
19,9,3.1,0.31622776601683794
19,10,4.0,0.0
19,11,5.0,0.0
19,12,5.0,0.0
19,13,4.0,0.0
19,14,4.0,0.0
19,15,4.9,0.31622776601683794
19,16,5.0,0.0
19,17,5.0,0.0
19,18,5.0,0.0
19,19,3.8,0.4216370213557839
19,20,4.0,0.0
19,21,5.0,0.0
19,22,5.0,0.0
19,23,4.0,0.0
19,24,2.0,0.0
19,25,2.9,0.31622776601683794
19,26,5.0,0.0
19,27,5.0,0.0
19,28,2.9,0.31622776601683794
19,29,1.7,0.4830458915396479
19,30,4.0,0.0
20,1,3.0,0.0
20,2,3.2,0.4216370213557839
20,3,2.0,0.0
20,4,3.0,0.0
20,5,4.0,0.0
20,6,3.0,0.0
20,7,3.3,0.48304589153964794
20,8,3.8,0.4216370213557839
20,9,4.0,0.0
20,10,4.0,0.0
20,11,4.0,0.0
20,12,3.0,0.0
20,13,4.0,0.0
20,14,4.0,0.0
20,15,2.0,0.0
20,16,2.9,0.31622776601683794
20,17,4.0,0.0
20,18,4.0,0.0
20,19,5.0,0.0
20,20,4.0,0.0
20,21,5.0,0.0
20,22,2.7,0.48304589153964794
20,23,4.0,0.0
20,24,3.0,0.0
20,25,4.0,0.0
20,26,5.0,0.0
20,27,1.8,0.6324555320336759
20,28,5.0,0.0
20,29,5.0,0.0
20,30,2.0,0.0
21,1,4.0,0.0
21,2,4.0,0.0
21,3,4.0,0.0
21,4,3.0,0.0
21,5,3.0,0.0
21,6,4.4,0.5163977794943222
21,7,4.0,0.0
21,8,4.0,0.0
21,9,3.1,0.31622776601683794
21,10,3.0,0.0
21,11,4.0,0.0
21,12,5.0,0.0
21,13,3.0,0.0
21,14,4.0,0.0
21,15,3.0,0.0
21,16,5.0,0.0
21,17,5.0,0.0
21,18,4.0,0.0
21,19,4.0,0.0
21,20,3.9,0.31622776601683794
21,21,5.0,0.0
21,22,4.9,0.31622776601683794
21,23,4.0,0.0
21,24,3.0,0.0
21,25,2.1,0.31622776601683794
21,26,5.0,0.0
21,27,4.0,0.0
21,28,3.1,0.31622776601683794
21,29,2.0,0.0
21,30,3.0,0.0
22,1,4.0,0.0
22,2,4.0,0.0
22,3,3.0,0.0
22,4,3.0,0.0
22,5,3.0,0.0
22,6,4.0,0.0
22,7,4.0,0.0
22,8,4.0,0.0
22,9,3.0,0.0
22,10,3.0,0.0
22,11,4.0,0.0
22,12,5.0,0.0
22,13,3.0,0.0
22,14,4.0,0.0
22,15,3.0,0.0
22,16,4.8,0.4216370213557839
22,17,5.0,0.0
22,18,4.0,0.0
22,19,4.0,0.0
22,20,3.3,0.48304589153964794
22,21,5.0,0.0
22,22,4.3,0.48304589153964794
22,23,3.0,0.0
22,24,3.0,0.0
22,25,2.0,0.0
22,26,4.3,0.48304589153964794
22,27,4.0,0.0
22,28,4.0,0.0
22,29,2.5,0.5270462766947299
22,30,2.1,0.31622776601683794
23,1,4.0,0.0
23,2,5.0,0.0
23,3,4.0,0.0
23,4,3.0,0.0
23,5,4.0,0.0
23,6,5.0,0.0
23,7,4.0,0.0
23,8,4.0,0.0
23,9,3.0,0.0
23,10,4.0,0.0
23,11,4.9,0.31622776601683794
23,12,5.0,0.0
23,13,3.0,0.0
23,14,4.0,0.0
23,15,4.0,0.0
23,16,5.0,0.0
23,17,5.0,0.0
23,18,4.0,0.0
23,19,4.0,0.0
23,20,4.0,0.0
23,21,5.0,0.0
23,22,4.5,0.5270462766947299
23,23,3.6,0.5163977794943223
23,24,2.0,0.0
23,25,2.0,0.0
23,26,5.0,0.0
23,27,4.0,0.0
23,28,4.0,0.0
23,29,2.0,0.0
23,30,3.0,0.0
24,1,4.0,0.0
24,2,4.0,0.0
24,3,4.0,0.0
24,4,3.1,0.31622776601683794
24,5,4.0,0.0
24,6,4.8,0.4216370213557839
24,7,4.0,0.0
24,8,4.0,0.0
24,9,3.0,0.0
24,10,4.0,0.0
24,11,5.0,0.0
24,12,5.0,0.0
24,13,4.0,0.0
24,14,4.0,0.0
24,15,4.0,0.0
24,16,5.0,0.0
24,17,5.0,0.0
24,18,4.8,0.4216370213557839
24,19,4.0,0.0
24,20,4.0,0.0
24,21,5.0,0.0
24,22,5.0,0.0
24,23,4.0,0.0
24,24,3.0,0.0
24,25,3.0,0.0
24,26,5.0,0.0
24,27,4.0,0.0
24,28,4.0,0.0
24,29,3.0,0.0
24,30,3.0,0.0
25,1,3.2,0.4216370213557839
25,2,3.2,0.4216370213557839
25,3,4.0,0.0
25,4,4.0,0.0
25,5,5.0,0.0
25,6,4.0,0.0
25,7,4.1,0.31622776601683794
25,8,4.0,0.0
25,9,5.0,0.0
25,10,5.0,0.0
25,11,5.0,0.0
25,12,3.9,0.31622776601683794
25,13,4.0,0.0
25,14,5.0,0.0
25,15,5.0,0.0
25,16,4.0,0.0
25,17,2.0,0.0
25,18,5.0,0.0
25,19,5.0,0.0
25,20,5.0,0.0
25,21,5.0,0.0
25,22,4.0,0.0
25,23,4.0,0.0
25,24,5.0,0.0
25,25,5.0,0.0
25,26,5.0,0.0
25,27,2.0,0.0
25,28,3.2,1.6865480854231358
25,29,5.0,0.0
25,30,4.5,0.5270462766947299
27,1,4.0,0.0
27,2,5.0,0.0
27,3,2.0,0.0
27,4,2.0,0.0
27,5,3.0,0.0
27,6,5.0,0.0
27,7,5.0,0.0
27,8,4.0,0.0
27,9,2.0,0.0
27,10,2.0,0.0
27,11,4.0,0.0
27,12,5.0,0.0
27,13,2.0,0.0
27,14,4.0,0.0
27,15,3.0,0.0
27,16,5.0,0.0
27,17,5.0,0.0
27,18,2.9,0.31622776601683794
27,19,3.0,0.0
27,20,2.1,0.31622776601683794
27,21,5.0,0.0
27,22,5.0,0.0
27,23,3.0,0.0
27,24,2.0,0.0
27,25,2.8,0.4216370213557839
27,26,5.0,0.0
27,27,5.0,0.0
27,28,2.0,0.0
27,29,1.0,0.0
27,30,2.0,0.0
28,1,4.0,0.0
28,2,4.0,0.0
28,3,4.0,0.0
28,4,3.0,0.0
28,5,3.0,0.0
28,6,4.0,0.0
28,7,4.0,0.0
28,8,4.0,0.0
28,9,3.0,0.0
28,10,3.0,0.0
28,11,4.0,0.0
28,12,5.0,0.0
28,13,3.0,0.0
28,14,4.0,0.0
28,15,3.0,0.0
28,16,4.2,0.4216370213557839
28,17,4.6,0.5163977794943222
28,18,4.0,0.0
28,19,4.0,0.0
28,20,3.1,0.31622776601683794
28,21,5.0,0.0
28,22,4.0,0.0
28,23,3.0,0.0
28,24,3.0,0.0
28,25,2.0,0.0
28,26,4.0,0.0
28,27,4.0,0.0
28,28,3.2,0.4216370213557839
28,29,3.0,0.0
28,30,3.0,0.0
30,1,4.0,0.0
30,2,5.0,0.0
30,3,3.0,0.0
30,4,2.0,0.0
30,5,4.0,0.0
30,6,4.9,0.31622776601683794
30,7,5.0,0.0
30,8,4.0,0.0
30,9,3.0,0.0
30,10,3.0,0.0
30,11,4.0,0.0
30,12,5.0,0.0
30,13,2.0,0.0
30,14,4.0,0.0
30,15,2.5,0.5270462766947299
30,16,5.0,0.0
30,17,5.0,0.0
30,18,4.0,0.0
30,19,4.0,0.0
30,20,3.0,0.0
30,21,5.0,0.0
30,22,5.0,0.0
30,23,3.0,0.0
30,24,0.0,0.0
30,25,2.0,0.0
30,26,5.0,0.0
30,27,4.0,0.0
30,28,3.8,0.4216370213557839
30,29,2.0,0.0
30,30,0.0,0.0
31,1,4.0,0.0
31,2,5.0,0.0
31,3,3.8,0.4216370213557839
31,4,3.0,0.0
31,5,3.0,0.0
31,6,4.8,0.4216370213557839
31,7,4.0,0.0
31,8,4.0,0.0
31,9,4.0,0.0
31,10,3.4,0.5163977794943223
31,11,4.5,0.5270462766947299
31,12,5.0,0.0
31,13,4.0,0.0
31,14,4.0,0.0
31,15,3.7,0.48304589153964794
31,16,5.0,0.0
31,17,5.0,0.0
31,18,4.0,0.0
31,19,4.0,0.0
31,20,4.0,0.0
31,21,5.0,0.0
31,22,4.0,0.0
31,23,3.0,0.0
31,24,2.0,0.0
31,25,2.9,0.5676462121975467
31,26,4.0,0.0
31,27,4.4,0.5163977794943222
31,28,4.0,0.0
31,29,2.0,0.0
31,30,3.0,0.0
32,1,4.0,0.0
32,2,4.0,0.0
32,3,3.0,0.0
32,4,3.0,0.0
32,5,3.2,0.4216370213557839
32,6,4.0,0.0
32,7,4.0,0.0
32,8,3.5,0.5270462766947299
32,9,3.0,0.0
32,10,3.0,0.0
32,11,4.8,0.4216370213557839
32,12,5.0,0.0
32,13,2.3,0.48304589153964794
32,14,4.0,0.0
32,15,2.6,0.5163977794943223
32,16,5.0,0.0
32,17,5.0,0.0
32,18,4.0,0.0
32,19,4.0,0.0
32,20,3.0,0.0
32,21,5.0,0.0
32,22,4.5,0.5270462766947299
32,23,3.0,0.0
32,24,0.1,0.31622776601683794
32,25,2.0,0.0
32,26,5.0,0.0
32,27,4.1,0.31622776601683794
32,28,4.0,0.0
32,29,1.8,0.42163702135578396
32,30,2.6,0.5163977794943223
33,1,4.0,0.0
33,2,4.0,0.0
33,3,3.0,0.0
33,4,3.0,0.0
33,5,3.0,0.0
33,6,4.0,0.0
33,7,4.0,0.0
33,8,4.0,0.0
33,9,3.0,0.0
33,10,4.0,0.0
33,11,4.0,0.0
33,12,5.0,0.0
33,13,3.7,0.48304589153964794
33,14,4.0,0.0
33,15,3.0,0.0
33,16,5.0,0.0
33,17,5.0,0.0
33,18,4.0,0.0
33,19,2.9,0.31622776601683794
33,20,3.1,0.31622776601683794
33,21,5.0,0.0
33,22,4.1,0.31622776601683794
33,23,3.0,0.0
33,24,2.1,0.31622776601683794
33,25,3.0,0.0
33,26,4.9,0.31622776601683794
33,27,4.0,0.0
33,28,3.2,0.4216370213557839
33,29,2.0,0.0
33,30,2.2,0.4216370213557839
34,1,4.0,0.0
34,2,4.0,0.0
34,3,3.3,0.48304589153964794
34,4,2.0,0.0
34,5,4.0,0.0
34,6,4.0,0.0
34,7,4.0,0.0
34,8,3.0,0.0
34,9,3.6,0.5163977794943223
34,10,4.0,0.0
34,11,4.0,0.0
34,12,4.0,0.0
34,13,2.1,0.31622776601683794
34,14,4.0,0.0
34,15,3.0,0.0
34,16,5.0,0.0
34,17,5.0,0.0
34,18,5.0,0.0
34,19,4.0,0.0
34,20,4.0,0.0
34,21,5.0,0.0
34,22,4.0,0.0
34,23,4.0,0.0
34,24,0.4,0.8432740427115679
34,25,2.0,0.0
34,26,5.0,0.0
34,27,4.0,0.0
34,28,4.0,0.0
34,29,0.0,0.0
34,30,0.2,0.6324555320336759
35,1,4.0,0.0
35,2,4.0,0.0
35,3,2.0,0.0
35,4,3.0,0.0
35,5,3.0,0.0
35,6,4.0,0.0
35,7,4.0,0.0
35,8,3.0,0.0
35,9,3.1,0.31622776601683794
35,10,3.0,0.0
35,11,4.0,0.0
35,12,4.0,0.0
35,13,4.0,0.0
35,14,4.0,0.0
35,15,3.0,0.0
35,16,5.0,0.0
35,17,5.0,0.0
35,18,3.0,0.0
35,19,3.0,0.0
35,20,3.7,0.48304589153964794
35,21,5.0,0.0
35,22,4.0,0.0
35,23,3.0,0.0
35,24,3.0,0.0
35,25,2.3,0.48304589153964794
35,26,5.0,0.0
35,27,4.0,0.0
35,28,3.0,0.0
35,29,0.0,0.0
35,30,3.0,0.0
36,1,4.0,0.0
36,2,4.0,0.0
36,3,3.0,0.0
36,4,3.0,0.0
36,5,3.0,0.0
36,6,4.0,0.0
36,7,4.0,0.0
36,8,3.0,0.0
36,9,3.0,0.0
36,10,3.0,0.0
36,11,4.0,0.0
36,12,4.0,0.0
36,13,3.0,0.0
36,14,3.0,0.0
36,15,3.0,0.0
36,16,4.0,0.0
36,17,4.8,0.4216370213557839
36,18,3.0,0.0
36,19,3.1,0.31622776601683794
36,20,3.0,0.0
36,21,5.0,0.0
36,22,4.0,0.0
36,23,3.0,0.0
36,24,2.1,0.31622776601683794
36,25,2.0,0.0
36,26,5.0,0.0
36,27,4.0,0.0
36,28,3.0,0.0
36,29,1.0,0.0
36,30,2.0,0.0
37,1,5.0,0.0
37,2,5.0,0.0
37,3,4.0,0.0
37,4,3.1,0.31622776601683794
37,5,4.0,0.0
37,6,5.0,0.0
37,7,4.0,0.0
37,8,4.0,0.0
37,9,3.0,0.0
37,10,4.0,0.0
37,11,5.0,0.0
37,12,5.0,0.0
37,13,3.6,0.5163977794943223
37,14,4.0,0.0
37,15,4.0,0.0
37,16,5.0,0.0
37,17,5.0,0.0
37,18,4.0,0.0
37,19,4.0,0.0
37,20,4.0,0.0
37,21,5.0,0.0
37,22,5.0,0.0
37,23,4.0,0.0
37,24,2.0,0.0
37,25,2.2,0.4216370213557839
37,26,5.0,0.0
37,27,5.0,0.0
37,28,4.0,0.0
37,29,2.0,0.0
37,30,4.0,0.0
38,1,5.0,0.0
38,2,5.0,0.0
38,3,4.0,0.0
38,4,3.0,0.0
38,5,3.0,0.0
38,6,5.0,0.0
38,7,4.0,0.0
38,8,4.0,0.0
38,9,3.0,0.0
38,10,4.0,0.0
38,11,5.0,0.0
38,12,5.0,0.0
38,13,4.0,0.0
38,14,4.0,0.0
38,15,3.6,0.5163977794943223
38,16,5.0,0.0
38,17,5.0,0.0
38,18,4.2,0.4216370213557839
38,19,4.0,0.0
38,20,3.7,0.48304589153964794
38,21,5.0,0.0
38,22,5.0,0.0
38,23,4.0,0.0
38,24,3.0,0.0
38,25,3.0,0.0
38,26,5.0,0.0
38,27,5.0,0.0
38,28,3.6,0.5163977794943223
38,29,2.0,0.0
38,30,3.1,0.31622776601683794
39,1,4.0,0.0
39,2,4.5,0.5270462766947299
39,3,4.0,0.0
39,4,3.0,0.0
39,5,4.0,0.0
39,6,5.0,0.0
39,7,4.0,0.0
39,8,4.0,0.0
39,9,3.0,0.0
39,10,3.0,0.0
39,11,4.0,0.0
39,12,5.0,0.0
39,13,3.0,0.0
39,14,4.0,0.0
39,15,3.0,0.0
39,16,5.0,0.0
39,17,5.0,0.0
39,18,4.0,0.0
39,19,4.0,0.0
39,20,4.0,0.0
39,21,5.0,0.0
39,22,5.0,0.0
39,23,3.0,0.0
39,24,3.0,0.0
39,25,2.7,0.48304589153964794
39,26,4.0,0.0
39,27,4.0,0.0
39,28,4.0,0.0
39,29,4.0,0.0
39,30,3.0,0.0
40,1,3.0,0.0
40,2,4.2,0.4216370213557839
40,3,2.6,0.5163977794943223
40,4,2.0,0.0
40,5,3.0,0.0
40,6,4.0,0.0
40,7,4.0,0.0
40,8,3.0,0.0
