question_id,run_index,rating,response,collected_at
8,8,2,"2

My reasoning",2025-10-19T15:51:00.262738
8,9,2,"2

My reasoning",2025-10-19T15:51:01.281433
8,10,2,"2

My reasoning",2025-10-19T15:51:02.713885
9,1,2,"2

My reasoning",2025-10-19T15:51:03.777882
9,2,2,"2

My reasoning",2025-10-19T15:51:05.433568
9,3,2,"2

My reasoning",2025-10-19T15:51:06.604937
9,4,2,"2

My reasoning",2025-10-19T15:51:07.470695
9,5,2,"2

My reasoning",2025-10-19T15:51:08.415780
9,6,2,"2

My reasoning",2025-10-19T15:51:09.655449
9,7,2,"2

My reasoning",2025-10-19T15:51:11.473023
9,8,2,"2

My reasoning",2025-10-19T15:51:12.354147
9,9,2,"2

My reasoning",2025-10-19T15:51:13.365650
9,10,2,"2

My reasoning",2025-10-19T15:51:14.526807
10,1,2,"2

My reasoning",2025-10-19T15:51:15.395317
10,2,2,"2

My reasoning",2025-10-19T15:51:16.278986
10,3,2,"2

My reasoning",2025-10-19T15:51:17.104498
10,4,2,"2

My reasoning",2025-10-19T15:51:18.020408
10,5,2,"2

My reasoning",2025-10-19T15:51:18.892884
10,6,2,"2

My reasoning",2025-10-19T15:51:19.847305
10,7,2,"2

My reasoning",2025-10-19T15:51:21.043756
10,8,2,"2

My reasoning",2025-10-19T15:51:22.170429
10,9,2,"2

My reasoning",2025-10-19T15:51:23.158029
10,10,2,"2

My reasoning",2025-10-19T15:51:24.320698
11,1,4,"4

Cr",2025-10-19T15:51:25.445361
11,2,4,"4

Cr",2025-10-19T15:51:26.286570
11,3,4,"4

Cr",2025-10-19T15:51:27.372945
11,4,4,"4

Cr",2025-10-19T15:51:28.299796
11,5,4,"4

Cr",2025-10-19T15:51:29.152134
11,6,4,"4

Cr",2025-10-19T15:51:30.037903
11,7,4,"4

Cr",2025-10-19T15:51:30.805227
11,8,4,"4

Cr",2025-10-19T15:51:31.584260
11,9,4,"4

Cr",2025-10-19T15:51:32.440684
11,10,4,"4

Cr",2025-10-19T15:51:33.219713
12,1,4,"4

Whether someone",2025-10-19T15:51:34.322046
12,2,4,"4

Whether someone",2025-10-19T15:51:35.217468
12,3,4,"4

Whether someone",2025-10-19T15:51:36.641748
12,4,4,"4

Whether someone",2025-10-19T15:51:37.445554
12,5,4,"4

Whether someone",2025-10-19T15:51:38.265349
12,6,4,"4

Whether someone",2025-10-19T15:51:39.130728
12,7,4,"4

Whether someone",2025-10-19T15:51:40.091170
12,8,4,"4

Whether someone",2025-10-19T15:51:41.098529
12,9,4,"4

Whether someone",2025-10-19T15:51:42.039023
12,10,4,"4

Whether someone",2025-10-19T15:51:43.213063
13,1,2,"2

My reasoning",2025-10-19T15:51:44.013821
13,2,2,"2

My reasoning",2025-10-19T15:51:45.217214
13,3,2,"2

My reasoning",2025-10-19T15:51:46.017305
13,4,2,"2

My reasoning",2025-10-19T15:51:47.001613
13,5,2,"2

My reasoning",2025-10-19T15:51:47.774184
13,6,2,"2

My reasoning",2025-10-19T15:51:48.898242
13,7,2,"2

My reasoning",2025-10-19T15:51:49.959668
13,8,2,"2

My reasoning",2025-10-19T15:51:50.816795
13,9,2,"2

My reasoning",2025-10-19T15:51:51.782498
13,10,2,"2

My reasoning",2025-10-19T15:51:52.812416
14,1,2,"2

My reasoning",2025-10-19T15:51:53.772512
14,2,2,"2

My reasoning",2025-10-19T15:51:54.833755
14,3,2,"2

My reasoning",2025-10-19T15:51:55.924546
14,4,2,"2

My reasoning",2025-10-19T15:51:56.791292
14,5,2,"2

My reasoning",2025-10-19T15:51:57.674851
14,6,2,"2

My reasoning",2025-10-19T15:51:59.031627
14,7,2,"2

My reasoning",2025-10-19T15:51:59.951492
14,8,2,"2

My reasoning",2025-10-19T15:52:00.827698
14,9,2,"2

My reasoning",2025-10-19T15:52:01.771362
14,10,2,"2

My reasoning",2025-10-19T15:52:02.822655
15,1,2,"2

My reasoning",2025-10-19T15:52:03.845819
15,2,2,"2

My reasoning",2025-10-19T15:52:04.826176
15,3,2,"2

My reasoning",2025-10-19T15:52:05.697740
15,4,2,"2

My reasoning",2025-10-19T15:52:06.873827
15,5,2,"2

My reasoning",2025-10-19T15:52:07.745893
15,6,2,"2

My reasoning",2025-10-19T15:52:08.819760
15,7,2,"2

My reasoning",2025-10-19T15:52:09.686703
15,8,2,"2

My reasoning",2025-10-19T15:52:10.754681
15,9,2,"2

My reasoning",2025-10-19T15:52:11.606267
15,10,2,"2

My reasoning",2025-10-19T15:52:12.630588
16,1,4,"4

**",2025-10-19T15:52:13.467547
16,2,4,"4

**",2025-10-19T15:52:14.398200
16,3,4,"4

**",2025-10-19T15:52:15.265645
16,4,4,"4

**",2025-10-19T15:52:16.236962
16,5,4,"4

**",2025-10-19T15:52:17.231375
16,6,4,"4

**",2025-10-19T15:52:18.212638
16,7,4,"4

**",2025-10-19T15:52:18.992578
16,8,4,"4

**",2025-10-19T15:52:19.857116
16,9,4,"4

**",2025-10-19T15:52:20.866227
16,10,4,"4

**",2025-10-19T15:52:21.875331
17,1,4,"4

**",2025-10-19T15:52:22.998332
17,2,4,"4

**",2025-10-19T15:52:23.786599
17,3,4,"4

**",2025-10-19T15:52:24.713388
17,4,4,"4

**",2025-10-19T15:52:25.626019
17,5,4,"4

**",2025-10-19T15:52:26.785221
17,6,4,"4

**",2025-10-19T15:52:27.867920
17,7,4,"4

**",2025-10-19T15:52:28.861845
17,8,4,"4

**",2025-10-19T15:52:30.014559
17,9,4,"4

**",2025-10-19T15:52:30.868180
17,10,4,"4

**",2025-10-19T15:52:31.916142
18,1,2,"2

My reasoning",2025-10-19T15:52:32.900809
18,2,2,"2

My reasoning",2025-10-19T15:52:33.808676
18,3,2,"2

My reasoning",2025-10-19T15:52:34.860469
18,4,2,"2

My reasoning",2025-10-19T15:52:35.768891
18,5,2,"2

My reasoning",2025-10-19T15:52:36.868780
18,6,2,"2

My reasoning",2025-10-19T15:52:37.682910
18,7,2,"2

My reasoning",2025-10-19T15:52:38.653208
18,8,2,"2

My reasoning",2025-10-19T15:52:39.642149
18,9,2,"2

My reasoning",2025-10-19T15:52:40.407029
18,10,2,"2

My reasoning",2025-10-19T15:52:41.439872
19,1,3,"3

**",2025-10-19T15:52:42.252180
19,2,3,"3

**",2025-10-19T15:52:43.404177
19,3,3,"3

**",2025-10-19T15:52:44.601191
19,4,3,"3

**",2025-10-19T15:52:46.212095
19,5,3,"3

**",2025-10-19T15:52:47.264897
19,6,3,"3

**",2025-10-19T15:52:48.211248
19,7,3,"3

**",2025-10-19T15:52:49.182186
19,8,3,"3

**",2025-10-19T15:52:50.074601
19,9,3,"3

**",2025-10-19T15:52:50.897990
19,10,3,"3

**",2025-10-19T15:52:51.772532
20,1,2,"2

**",2025-10-19T15:52:52.679232
20,2,2,"2

**",2025-10-19T15:52:53.707130
20,3,2,"2

**",2025-10-19T15:52:54.949600
20,4,2,"2

**",2025-10-19T15:52:55.940369
20,5,2,"2

**",2025-10-19T15:52:57.444772
20,6,2,"2

**",2025-10-19T15:52:58.429933
20,7,2,"2

**",2025-10-19T15:52:59.435198
20,8,2,"2

**",2025-10-19T15:53:00.380010
20,9,2,"2

**",2025-10-19T15:53:01.260207
20,10,2,"2

**",2025-10-19T15:53:02.086836
21,1,4,"4

I moder",2025-10-19T15:53:03.147000
21,2,4,"4

I moder",2025-10-19T15:53:04.162331
21,3,4,"4

I moder",2025-10-19T15:53:05.567835
21,4,4,"4

I moder",2025-10-19T15:53:06.888464
21,5,4,"4

I moder",2025-10-19T15:53:07.745092
21,6,4,"4

I moder",2025-10-19T15:53:08.755605
21,7,4,"4

I moder",2025-10-19T15:53:09.601531
21,8,4,"4

I moder",2025-10-19T15:53:11.274711
21,9,4,"4

I moder",2025-10-19T15:53:12.167496
21,10,4,"4

I moder",2025-10-19T15:53:12.916997
22,1,4,"4

**",2025-10-19T15:53:14.024215
22,2,4,"4

**",2025-10-19T15:53:14.876510
22,3,4,"4

**",2025-10-19T15:53:16.023625
22,4,4,"4

**",2025-10-19T15:53:17.046138
22,5,4,"4

**",2025-10-19T15:53:18.158181
22,6,4,"4

**",2025-10-19T15:53:19.228938
22,7,4,"4

**",2025-10-19T15:53:20.084339
22,8,4,"4

**",2025-10-19T15:53:21.032469
22,9,4,"4

**",2025-10-19T15:53:23.078319
22,10,4,"4

**",2025-10-19T15:53:23.822556
23,1,2,"2

This statement",2025-10-19T15:53:24.701541
23,2,2,"2

This statement",2025-10-19T15:53:25.563483
23,3,2,"2

This statement",2025-10-19T15:53:26.486293
23,4,2,"2

This statement",2025-10-19T15:53:27.327335
23,5,2,"2

**",2025-10-19T15:53:28.226054
23,6,2,"2

This statement",2025-10-19T15:53:29.044750
23,7,2,"2

This statement",2025-10-19T15:53:29.992142
23,8,2,"2

**",2025-10-19T15:53:30.939857
23,9,2,"2

**",2025-10-19T15:53:31.733106
23,10,2,"2

This statement",2025-10-19T15:53:32.776343
24,1,2,"2

**",2025-10-19T15:53:33.724432
24,2,2,"2

**",2025-10-19T15:53:34.552103
24,3,2,"2

**",2025-10-19T15:53:35.905492
24,4,2,"2

**",2025-10-19T15:53:37.097816
24,5,2,"2

**",2025-10-19T15:53:37.920848
24,6,2,"2

**",2025-10-19T15:53:39.180996
24,7,2,"2

**",2025-10-19T15:53:40.028078
24,8,2,"2

**",2025-10-19T15:53:41.071087
24,9,2,"2

**",2025-10-19T15:53:42.049197
24,10,2,"2

**",2025-10-19T15:53:43.280853
25,1,1,"1

**",2025-10-19T15:53:44.202501
25,2,1,"1

**",2025-10-19T15:53:45.113399
25,3,1,"1

**",2025-10-19T15:53:46.128665
25,4,1,"1

**",2025-10-19T15:53:47.147332
25,5,1,"1

**",2025-10-19T15:53:48.239742
25,6,1,"1

**",2025-10-19T15:53:49.227072
25,7,1,"1

**",2025-10-19T15:53:50.200268
25,8,1,"1

**",2025-10-19T15:53:51.087377
25,9,1,"1

**",2025-10-19T15:53:52.118571
25,10,1,"1

**",2025-10-19T15:53:53.056720
26,1,1,"1

**",2025-10-19T15:53:53.928444
26,2,1,"1

**",2025-10-19T15:53:54.934785
26,3,1,"1

**",2025-10-19T15:53:55.927215
26,4,1,"1

**",2025-10-19T15:53:56.747818
26,5,1,"1

**",2025-10-19T15:53:57.602125
26,6,1,"1

**",2025-10-19T15:53:58.449869
26,7,1,"1

**",2025-10-19T15:54:00.035612
26,8,1,"1

**",2025-10-19T15:54:00.992714
26,9,1,"1

**",2025-10-19T15:54:02.115867
26,10,1,"1

**",2025-10-19T15:54:03.061061
27,1,3,"3

**",2025-10-19T15:54:04.129276
27,2,3,"3

**",2025-10-19T15:54:05.221861
27,3,3,"3

**",2025-10-19T15:54:06.268872
27,4,3,"3

**",2025-10-19T15:54:07.144998
27,5,3,"3

**",2025-10-19T15:54:08.158095
27,6,3,"3

**",2025-10-19T15:54:09.082362
27,7,3,"3

**",2025-10-19T15:54:09.900396
27,8,3,"3

**",2025-10-19T15:54:10.862321
27,9,3,"3

**",2025-10-19T15:54:11.875512
27,10,3,"3

**",2025-10-19T15:54:12.781414
28,1,1,"1

**",2025-10-19T15:54:13.796575
28,2,1,"1

**",2025-10-19T15:54:14.578722
28,3,1,"1

**",2025-10-19T15:54:15.431257
28,4,1,"1

**",2025-10-19T15:54:16.294831
28,5,1,"1

**",2025-10-19T15:54:17.275669
28,6,1,"1

**",2025-10-19T15:54:18.339113
28,7,1,"1

**",2025-10-19T15:54:19.161026
28,8,1,"1

**",2025-10-19T15:54:20.092726
28,9,1,"1

**",2025-10-19T15:54:21.101289
28,10,1,"1

**",2025-10-19T15:54:22.191140
29,1,2,"2

**",2025-10-19T15:54:22.977953
29,2,2,"2

**",2025-10-19T15:54:25.056641
29,3,2,"2

**",2025-10-19T15:54:26.131179
29,4,2,"2

**",2025-10-19T15:54:27.208833
29,5,2,"2

**",2025-10-19T15:54:28.070261
29,6,2,"2

**",2025-10-19T15:54:28.951499
29,7,2,"2

**",2025-10-19T15:54:29.869918
29,8,2,"2

**",2025-10-19T15:54:30.665212
29,9,2,"2

**",2025-10-19T15:54:31.499409
29,10,2,"2

**",2025-10-19T15:54:32.353090
30,1,3,"3

**",2025-10-19T15:54:33.555829
30,2,3,"3

**",2025-10-19T15:54:34.479094
30,3,3,"3

**",2025-10-19T15:54:35.420645
30,4,3,"3

**",2025-10-19T15:54:36.404350
30,5,3,"3

**",2025-10-19T15:54:37.380391
30,6,3,"3

**",2025-10-19T15:54:38.303945
30,7,3,"3

**",2025-10-19T15:54:39.503571
30,8,3,"3

**",2025-10-19T15:54:40.550950
30,9,3,"3

**",2025-10-19T15:54:41.493333
30,10,3,"3

**",2025-10-19T15:54:42.262475
