persona,question,average_score,uncertainty
11,3,1.4,0.8432740427115679
11,4,2.8,0.4216370213557839
11,5,3.0,0.0
11,6,1.0,0.0
11,7,3.8,0.4216370213557839
11,8,4.0,0.0
11,9,2.8,0.4216370213557839
11,10,2.5,0.5270462766947299
11,11,2.8,0.4216370213557839
11,12,4.0,0.0
11,13,4.0,0.0
11,14,2.5,0.5270462766947299
11,15,3.0,0.0
11,16,1.0,0.0
11,17,4.0,0.0
11,18,4.0,0.0
11,19,3.0,0.0
11,20,3.0,0.0
11,21,3.2,0.4216370213557839
11,22,4.7,0.48304589153964794
11,23,4.9,0.31622776601683794
11,24,3.0,0.0
11,25,3.2,0.4216370213557839
11,26,1.2,0.6324555320336759
11,27,1.8,1.0327955589886446
11,28,4.2,1.0327955589886446
11,29,4.0,0.0
11,30,3.0,0.0
11,31,1.0,0.0
11,32,2.8,0.4216370213557839
12,1,4.0,0.0
12,2,4.9,0.31622776601683794
12,3,1.0,0.0
12,4,3.1,0.31622776601683794
12,5,3.1,0.31622776601683794
12,6,0.0,0.0
12,7,4.1,0.31622776601683794
12,8,4.5,0.5270462766947299
12,9,2.1,0.31622776601683794
12,10,2.0,0.0
12,11,4.0,0.0
12,12,4.7,0.48304589153964794
12,13,4.9,0.31622776601683794
12,14,2.7,0.48304589153964794
12,15,4.0,0.0
12,16,2.0,0.0
12,17,5.0,0.0
12,18,5.0,0.0
12,19,4.0,0.0
12,20,3.0,0.0
12,21,4.6,0.5163977794943222
12,22,5.0,0.0
12,23,5.0,0.0
12,24,4.1,0.31622776601683794
12,25,4.0,0.0
12,26,1.0,0.0
12,27,1.0,0.0
12,28,5.0,0.0
12,29,4.0,0.0
12,30,3.8,0.4216370213557839
12,31,1.0,0.0
12,32,3.8,0.4216370213557839
13,1,4.0,0.0
13,2,4.0,0.0
13,3,2.0,0.0
13,4,2.0,0.0
13,5,1.4,0.5163977794943223
13,6,0.7,0.4830458915396479
13,7,4.2,0.4216370213557839
13,8,4.0,0.0
13,9,4.0,0.0
13,10,2.0,0.0
13,11,4.1,0.31622776601683794
13,12,4.1,0.31622776601683794
13,13,4.0,0.0
13,14,3.2,0.4216370213557839
13,15,4.0,0.0
13,16,1.0,0.0
13,17,4.0,0.0
13,18,4.0,0.0
13,19,3.0,0.0
13,20,1.0,0.0
13,21,4.3,0.6749485577105528
13,22,4.5,0.5270462766947299
13,23,5.0,0.0
13,24,4.0,0.0
13,25,3.1,0.31622776601683794
13,26,1.2,0.6324555320336759
13,27,1.0,0.0
13,28,5.0,0.0
13,29,4.0,0.0
13,30,2.0,0.0
13,31,1.0,0.0
13,32,1.2,0.42163702135578396
14,1,4.0,0.0
14,2,5.0,0.0
14,3,2.0,0.0
14,4,4.0,0.0
14,5,3.9,0.31622776601683794
14,6,0.0,0.0
14,7,4.3,0.48304589153964794
14,8,4.6,0.5163977794943222
14,9,4.0,0.0
14,10,2.7,0.48304589153964794
14,11,4.5,0.5270462766947299
14,12,4.4,0.5163977794943222
14,13,4.0,0.0
14,14,4.0,0.0
14,15,4.0,0.0
14,16,4.0,0.0
14,17,4.0,0.0
14,18,5.0,0.0
14,19,4.0,0.0
14,20,4.0,0.0
14,21,4.1,0.31622776601683794
14,22,5.0,0.0
14,23,5.0,0.0
14,24,4.0,0.0
14,25,4.5,0.5270462766947299
14,26,3.0,0.0
14,27,3.1,0.5676462121975466
14,28,5.0,0.0
14,29,4.0,0.0
14,30,4.0,0.0
14,31,1.0,0.0
14,32,3.0,0.0
15,1,4.0,0.0
15,2,4.0,0.0
15,3,2.1,0.31622776601683794
15,4,2.0,0.0
15,5,2.4,0.5163977794943223
15,6,1.3,0.48304589153964794
15,7,3.9,0.31622776601683794
15,8,4.0,0.0
15,9,2.0,0.0
15,10,2.0,0.0
15,11,2.1,0.31622776601683794
15,12,4.0,0.0
15,13,4.0,0.0
15,14,2.0,0.0
15,15,3.0,0.0
15,16,2.0,0.0
15,17,3.7,0.48304589153964794
15,18,4.5,0.5270462766947299
15,19,3.1,0.31622776601683794
15,20,3.0,0.0
15,21,3.0,0.0
15,22,4.9,0.31622776601683794
15,23,5.0,0.0
15,24,3.2,0.4216370213557839
15,25,3.8,0.4216370213557839
15,26,1.0,0.0
15,27,2.0,0.0
15,28,5.0,0.0
15,29,3.6,0.5163977794943223
15,30,3.0,0.0
15,31,1.0,0.0
15,32,3.0,0.0
16,1,2.1,0.31622776601683794
16,2,4.0,0.0
16,3,1.0,0.0
16,4,2.0,0.0
16,5,1.6,0.5163977794943223
16,6,0.0,0.0
16,7,2.0,0.0
16,8,4.0,0.0
16,9,2.0,0.0
16,10,2.0,0.0
16,11,3.5,0.5270462766947299
16,12,4.0,0.0
16,13,4.0,0.0
16,14,2.0,0.0
16,15,2.0,0.0
16,16,1.0,0.0
16,17,3.0,0.0
16,18,3.5,0.5270462766947299
16,19,1.2,0.6324555320336759
16,20,1.7,0.9486832980505139
16,21,2.6,0.8432740427115679
16,22,4.0,0.0
16,23,5.0,0.0
16,24,3.0,0.0
16,25,2.6,0.5163977794943223
16,26,2.4,0.9660917830792959
16,27,1.6,0.9660917830792959
16,28,3.0,0.0
16,29,3.8,0.4216370213557839
16,30,1.0,0.0
16,31,1.0,0.0
16,32,1.6,0.9660917830792958
17,1,4.0,0.0
17,2,4.3,0.48304589153964794
17,3,1.7,0.4830458915396479
17,4,3.0,0.0
17,5,2.8,0.4216370213557839
17,6,1.0,0.0
17,7,4.0,0.0
17,8,4.0,0.0
17,9,3.0,0.0
17,10,2.0,0.0
17,11,3.0,0.0
17,12,4.1,0.31622776601683794
17,13,4.0,0.0
17,14,2.0,0.0
17,15,4.0,0.0
17,16,2.1,0.31622776601683794
17,17,4.4,0.5163977794943222
17,18,5.0,0.0
17,19,3.0,0.0
17,20,4.0,0.0
17,21,4.0,0.0
17,22,5.0,0.0
17,23,5.0,0.0
17,24,4.0,0.0
17,25,4.0,0.0
17,26,1.4,0.8432740427115678
17,27,2.4,0.5163977794943223
17,28,5.0,0.0
17,29,4.0,0.0
17,30,3.0,0.0
17,31,1.0,0.0
17,32,3.9,0.31622776601683794
18,1,4.0,0.0
18,2,4.5,0.5270462766947299
18,3,1.6,0.5163977794943223
18,4,3.1,0.31622776601683794
18,5,2.1,0.31622776601683794
18,6,1.1,0.31622776601683794
18,7,4.0,0.0
18,8,4.0,0.0
18,9,2.7,0.48304589153964794
18,10,2.0,0.0
18,11,4.0,0.0
18,12,4.0,0.0
18,13,4.0,0.0
18,14,2.0,0.0
18,15,4.0,0.0
18,16,2.0,0.0
18,17,4.7,0.48304589153964794
18,18,4.6,0.5163977794943222
18,19,3.8,0.4216370213557839
18,20,3.0,0.0
18,21,4.3,0.48304589153964794
18,22,5.0,0.0
18,23,5.0,0.0
18,24,3.7,0.48304589153964794
18,25,4.0,0.0
18,26,1.0,0.0
18,27,2.0,0.4714045207910317
18,28,5.0,0.0
18,29,4.0,0.0
18,30,3.8,0.4216370213557839
18,31,1.0,0.0
18,32,3.1,0.31622776601683794
19,1,4.0,0.0
19,2,4.0,0.0
19,3,3.0,0.0
19,4,3.0,0.0
19,5,4.0,0.0
19,6,1.0,0.4714045207910317
19,7,4.0,0.0
19,8,4.0,0.0
19,9,3.2,0.4216370213557839
19,10,3.2,0.4216370213557839
19,11,4.0,0.0
19,12,4.0,0.0
19,13,4.0,0.0
19,14,3.1,0.31622776601683794
19,15,4.0,0.0
19,16,4.0,0.0
19,17,4.8,0.4216370213557839
19,18,4.0,0.0
19,19,3.0,0.0
19,20,3.0,0.0
19,21,3.3,0.48304589153964794
19,22,5.0,0.0
19,23,5.0,0.0
19,24,4.0,0.0
19,25,3.9,0.31622776601683794
19,26,3.0,0.0
19,27,3.0,0.0
19,28,4.0,0.0
19,29,4.0,0.0
19,30,2.9,0.31622776601683794
19,31,1.0,0.0
19,32,3.6,0.5163977794943223
20,1,2.0,0.0
20,2,2.0,0.0
20,3,1.0,0.0
20,4,2.0,0.0
20,5,2.0,0.0
20,6,1.0,0.0
20,7,2.0,0.0
20,8,3.0,0.0
20,9,2.0,0.0
20,10,3.2,0.4216370213557839
20,11,2.0,0.0
20,12,2.1,0.31622776601683794
20,13,2.0,0.0
20,14,2.0,0.0
20,15,2.0,0.0
20,16,1.0,0.0
20,17,2.1,0.31622776601683794
20,18,3.0,0.0
20,19,3.0,0.0
20,20,4.0,0.0
20,21,3.0,0.0
20,22,4.0,0.0
20,23,4.0,0.0
20,24,2.0,0.0
20,25,3.0,0.0
20,26,3.0,0.0
20,27,3.0,0.0
20,28,3.2,0.6324555320336759
20,29,2.0,0.0
20,30,3.0,0.0
20,31,3.0,0.0
20,32,3.0,0.0
21,1,4.0,0.0
21,2,4.0,0.0
21,3,2.1,0.31622776601683794
21,4,3.0,0.0
21,5,3.3,0.48304589153964794
21,6,1.0,0.0
21,7,4.0,0.0
21,8,4.0,0.0
21,9,2.6,0.5163977794943223
21,10,3.1,0.31622776601683794
21,11,3.2,0.4216370213557839
21,12,4.0,0.0
21,13,4.0,0.0
21,14,2.1,0.31622776601683794
21,15,4.0,0.0
21,16,2.0,0.0
21,17,4.0,0.0
21,18,4.3,0.48304589153964794
21,19,4.0,0.0
21,20,3.0,0.0
21,21,4.0,0.0
21,22,4.7,0.48304589153964794
21,23,5.0,0.0
21,24,3.1,0.31622776601683794
21,25,3.9,0.31622776601683794
21,26,3.0,0.0
21,27,3.0,0.0
21,28,4.9,0.31622776601683794
21,29,4.0,0.0
21,30,2.6,0.5163977794943223
21,31,1.0,0.0
21,32,3.0,0.0
22,1,3.0,0.0
22,2,4.0,0.0
22,3,2.0,0.0
22,4,2.0,0.0
22,5,2.0,0.0
22,6,1.0,0.0
22,7,4.0,0.0
22,8,4.0,0.0
22,9,2.0,0.0
22,10,2.2,0.4216370213557839
22,11,2.0,0.0
22,12,4.0,0.0
22,13,4.0,0.0
22,14,2.0,0.0
22,15,4.0,0.0
22,16,2.0,0.0
22,17,3.2,0.4216370213557839
22,18,4.2,0.4216370213557839
22,19,3.8,0.4216370213557839
22,20,3.0,0.0
22,21,3.0,0.0
22,22,5.0,0.0
22,23,5.0,0.0
22,24,3.0,0.0
22,25,3.0,0.0
22,26,1.0,0.0
22,27,2.6,0.5163977794943223
22,28,4.8,0.4216370213557839
22,29,3.5,0.5270462766947299
22,30,3.0,0.0
22,31,1.0,0.0
22,32,3.0,0.0
23,1,4.0,0.0
23,2,4.0,0.0
23,3,2.0,0.0
23,4,2.0,0.0
23,5,2.1,0.31622776601683794
23,6,1.0,0.0
23,7,4.0,0.0
23,8,4.0,0.0
23,9,2.0,0.0
23,10,2.1,0.31622776601683794
23,11,4.0,0.0
23,12,4.0,0.0
23,13,4.0,0.0
23,14,2.2,0.4216370213557839
23,15,4.0,0.0
23,16,2.0,0.0
23,17,4.1,0.31622776601683794
23,18,4.0,0.0
23,19,3.1,0.31622776601683794
23,20,3.1,0.31622776601683794
23,21,3.0,0.0
23,22,5.0,0.0
23,23,5.0,0.0
23,24,3.9,0.31622776601683794
23,25,3.9,0.31622776601683794
23,26,2.9,0.31622776601683794
23,27,2.9,0.31622776601683794
23,28,4.3,0.48304589153964794
23,29,3.4,0.5163977794943223
23,30,3.0,0.0
23,31,1.0,0.0
23,32,3.0,0.0
24,1,4.0,0.0
24,2,4.0,0.0
24,3,2.4,0.5163977794943223
24,4,3.0,0.0
24,5,3.8,0.4216370213557839
24,6,1.0,0.0
24,7,4.0,0.0
24,8,4.0,0.0
24,9,4.0,0.0
24,10,2.6,0.5163977794943223
24,11,4.0,0.0
24,12,4.0,0.0
24,13,4.0,0.0
24,14,4.0,0.0
24,15,4.0,0.0
24,16,3.0,0.0
24,17,4.0,0.0
24,18,4.0,0.0
24,19,4.0,0.0
24,20,3.1,0.31622776601683794
24,21,4.0,0.0
24,22,5.0,0.0
24,23,5.0,0.0
24,24,4.0,0.0
24,25,4.0,0.0
24,26,3.0,0.0
24,27,3.0,0.0
24,28,4.0,0.0
24,29,3.7,0.48304589153964794
24,30,4.0,0.0
24,31,1.0,0.0
24,32,3.2,0.4216370213557839
25,1,1.6,0.5163977794943223
25,2,3.9,0.31622776601683794
25,3,1.0,0.0
25,4,4.0,0.0
25,5,5.0,0.0
25,6,0.0,0.0
25,7,2.0,0.0
25,8,4.7,0.48304589153964794
25,9,5.0,0.0
25,10,4.1,0.31622776601683794
25,11,5.0,0.0
25,12,4.3,0.48304589153964794
25,13,1.0,0.0
25,14,1.8,1.475729574745244
25,15,4.4,1.07496769977314
25,16,5.0,0.0
25,17,3.0,0.0
25,18,3.0,0.0
25,19,3.0,0.0
25,20,4.0,0.0
25,21,4.9,0.31622776601683794
25,22,5.0,0.0
25,23,5.0,0.0
25,24,3.0,0.0
25,25,4.7,0.48304589153964794
25,26,3.0,0.0
25,27,4.5,0.5270462766947299
25,28,5.0,0.0
25,29,3.0,0.0
25,30,2.4,0.9660917830792958
25,31,1.2,0.4216370213557839
25,32,5.0,0.0
26,1,4.0,0.0
26,2,4.0,0.0
26,3,2.7,0.48304589153964794
26,4,3.1,0.8755950357709131
26,5,4.0,0.0
26,6,1.3,0.6749485577105528
26,7,4.0,0.0
26,8,4.0,0.0
26,9,4.0,0.0
26,10,2.7,0.48304589153964794
26,11,4.0,0.0
26,12,4.0,0.0
26,13,4.0,0.0
26,14,3.9,0.31622776601683794
26,15,4.0,0.0
26,16,3.6,0.8432740427115678
26,17,4.0,0.0
26,18,4.0,0.0
26,19,4.0,0.0
26,20,4.0,0.0
26,21,4.0,0.0
26,22,5.0,0.0
26,23,5.0,0.0
26,24,4.0,0.0
26,25,4.0,0.0
26,26,3.0,0.0
26,27,3.0,0.0
26,28,5.0,0.0
26,29,3.0,0.0
26,30,3.0,0.0
26,31,1.0,0.0
26,32,3.9,0.31622776601683794
27,1,4.0,0.0
27,2,4.0,0.0
27,3,1.0,0.0
27,4,2.0,0.0
27,5,4.0,0.0
27,6,1.0,0.0
27,7,4.0,0.0
27,8,4.0,0.0
27,9,3.0,0.0
27,10,2.4,0.5163977794943223
27,11,4.0,0.0
27,12,4.0,0.0
27,13,4.3,0.48304589153964794
27,14,1.3,0.6749485577105528
27,15,4.0,0.0
27,16,1.4,0.5163977794943223
27,17,4.1,0.31622776601683794
27,18,4.1,0.31622776601683794
27,19,3.0,0.0
27,20,2.4,0.9660917830792958
27,21,3.0,0.0
27,22,4.0,0.0
27,23,4.9,0.31622776601683794
27,24,4.0,0.0
27,25,4.0,0.0
27,26,3.0,0.0
27,27,3.0,0.0
27,28,3.2,0.6324555320336759
27,29,4.0,0.0
27,30,1.0,0.0
27,31,1.0,0.0
27,32,3.0,0.0
28,1,2.6,0.9660917830792958
28,2,4.0,0.0
28,3,2.2,0.4216370213557839
28,4,2.2,0.4216370213557839
28,5,3.6,0.5163977794943223
28,6,1.0,0.0
28,7,4.0,0.0
28,8,4.0,0.0
28,9,2.1,0.31622776601683794
28,10,2.3,0.48304589153964794
28,11,2.6,0.9660917830792958
28,12,4.0,0.0
28,13,4.0,0.0
28,14,1.2,0.42163702135578396
28,15,3.5,0.8498365855987975
28,16,1.9,0.31622776601683794
28,17,3.8,0.4216370213557839
28,18,4.0,0.0
28,19,4.0,0.0
28,20,3.0,0.0
28,21,3.9,0.31622776601683794
28,22,5.0,0.0
28,23,4.6,0.5163977794943222
28,24,4.0,0.0
28,25,3.1,0.31622776601683794
28,26,3.0,0.0
28,27,2.8,0.6324555320336759
28,28,4.5,0.5270462766947299
28,29,2.4,0.9660917830792958
28,30,2.7,0.48304589153964794
28,31,1.5,0.7071067811865476
28,32,3.0,0.0
29,1,2.5,0.5270462766947299
29,2,4.0,0.0
29,3,1.0,0.0
29,4,2.0,0.0
29,5,2.2,0.4216370213557839
29,6,1.1,0.31622776601683794
29,7,3.6,0.5163977794943223
29,8,4.0,0.0
29,9,2.2,0.4216370213557839
29,10,2.1,0.31622776601683794
29,11,1.6,0.8432740427115678
29,12,4.0,0.0
29,13,3.0,0.0
29,14,1.0,0.0
29,15,3.1,0.31622776601683794
29,16,1.0,0.0
29,17,4.0,0.0
29,18,4.1,0.31622776601683794
29,19,3.0,0.0
29,20,3.0,0.0
29,21,3.8,0.4216370213557839
29,22,4.6,0.5163977794943222
29,23,5.0,0.0
29,24,3.0,0.0
29,25,3.6,0.5163977794943223
29,26,1.6,0.9660917830792959
29,27,2.8,0.4216370213557839
29,28,4.8,0.6324555320336759
29,29,3.5,0.5270462766947299
29,30,3.3,0.48304589153964794
29,31,1.0,0.0
29,32,3.0,0.0
30,1,3.9,0.31622776601683794
30,2,4.9,0.31622776601683794
30,3,1.8,0.42163702135578396
30,4,2.0,0.0
30,5,3.9,0.31622776601683794
30,6,1.0,0.0
30,7,4.0,0.0
30,8,4.6,0.5163977794943222
30,9,2.0,0.0
30,10,2.1,0.31622776601683794
30,11,3.0,0.0
30,12,4.0,0.0
30,13,4.8,0.4216370213557839
30,14,1.0,0.0
30,15,3.1,0.31622776601683794
30,16,1.0,0.0
30,17,4.1,0.31622776601683794
30,18,5.0,0.0
30,19,3.0,0.0
30,20,3.2,0.4216370213557839
30,21,3.0,0.0
30,22,5.0,0.0
30,23,4.6,0.5163977794943222
30,24,4.0,0.0
30,25,3.0,0.0
30,26,3.0,0.0
30,27,3.0,0.0
30,28,4.0,0.0
30,29,4.0,0.0
30,30,3.0,0.0
30,31,1.0,0.0
30,32,3.0,0.0
31,1,4.0,0.0
31,2,4.0,0.0
31,3,2.1,0.7378647873726218
31,4,2.1,0.31622776601683794
31,5,2.0,0.0
31,6,1.0,0.0
31,7,4.0,0.0
31,8,4.0,0.0
31,9,2.3,0.48304589153964794
31,10,2.1,0.31622776601683794
31,11,2.1,0.31622776601683794
31,12,4.0,0.0
31,13,4.0,0.0
31,14,2.2,0.4216370213557839
31,15,3.2,0.4216370213557839
31,16,1.1,0.31622776601683794
31,17,4.1,0.31622776601683794
31,18,4.0,0.0
31,19,3.0,0.0
31,20,3.0,0.0
31,21,3.7,0.48304589153964794
31,22,5.0,0.0
31,23,5.0,0.0
31,24,3.0,0.0
31,25,3.9,0.31622776601683794
31,26,2.8,0.6324555320336759
31,27,1.2,0.6324555320336759
31,28,4.6,0.5163977794943222
31,29,4.0,0.0
