persona,question,average_score,uncertainty
4,31,0.0,0.0
4,32,2.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,0.0,0.0
5,5,0.0,0.0
5,6,0.0,0.0
5,7,0.0,0.0
5,8,0.0,0.0
5,9,0.0,0.0
5,10,0.0,0.0
5,11,0.0,0.0
5,12,0.0,0.0
5,13,0.0,0.0
5,14,0.0,0.0
5,15,0.0,0.0
5,16,0.0,0.0
5,17,1.8,0.6324555320336759
5,18,5.0,0.0
5,19,4.9,0.31622776601683794
5,20,4.1,1.449137674618944
5,21,5.0,0.0
5,22,5.0,0.0
5,23,5.0,0.0
5,24,0.2,0.6324555320336759
5,25,2.0,0.0
5,26,2.0,0.0
5,27,0.0,0.0
5,28,0.0,0.0
5,29,5.0,0.0
5,30,2.0,0.0
5,31,0.0,0.0
5,32,0.0,0.0
6,1,5.0,0.0
6,2,5.0,0.0
6,3,0.0,0.0
6,4,0.0,0.0
6,5,0.0,0.0
6,6,0.0,0.0
6,7,5.0,0.0
6,8,4.8,0.6324555320336759
6,9,0.0,0.0
6,10,0.0,0.0
6,11,0.0,0.0
6,12,0.0,0.0
6,13,5.0,0.0
6,14,0.0,0.0
6,15,0.0,0.0
6,16,0.0,0.0
6,17,5.0,0.0
6,18,5.0,0.0
6,19,5.0,0.0
6,20,4.8,0.4216370213557839
6,21,5.0,0.0
6,22,5.0,0.0
6,23,5.0,0.0
6,24,5.0,0.0
6,25,2.0,0.0
6,26,0.0,0.0
6,27,0.0,0.0
6,28,0.0,0.0
6,29,5.0,0.0
6,30,0.6,0.9660917830792959
6,31,0.0,0.0
6,32,0.0,0.0
7,1,4.0,0.0
7,2,4.0,0.0
7,3,0.0,0.0
7,4,1.7,0.6749485577105528
7,5,0.0,0.0
7,6,0.0,0.0
7,7,4.1,0.31622776601683794
7,8,4.0,0.0
7,9,2.0,0.0
7,10,2.0,0.0
7,11,0.0,0.0
7,12,3.8,0.4216370213557839
7,13,4.0,0.0
7,14,0.6,0.9660917830792958
7,15,1.6,0.8432740427115679
7,16,0.0,0.0
7,17,5.0,0.0
7,18,5.0,0.0
7,19,5.0,0.0
7,20,2.0,0.0
7,21,5.0,0.0
7,22,5.0,0.0
7,23,5.0,0.0
7,24,5.0,0.0
7,25,2.0,0.0
7,26,0.0,0.0
7,27,0.0,0.0
7,28,0.0,0.0
7,29,5.0,0.0
7,30,0.6,0.9660917830792958
7,31,0.0,0.0
7,32,1.6,0.8432740427115678
8,1,0.0,0.0
8,2,0.6,0.5163977794943223
8,3,0.0,0.0
8,4,0.0,0.0
8,5,0.0,0.0
8,6,0.0,0.0
8,7,0.0,0.0
8,8,1.8,0.42163702135578396
8,9,0.0,0.0
8,10,0.0,0.0
8,11,0.0,0.0
8,12,0.0,0.0
8,13,0.0,0.0
8,14,0.0,0.0
8,15,2.0,0.0
8,16,0.0,0.0
8,17,2.0,0.0
8,18,2.0,0.0
8,19,2.0,0.0
8,20,5.0,0.0
8,21,0.0,0.0
8,22,5.0,0.0
8,23,5.0,0.0
8,24,2.0,0.0
8,25,0.0,0.0
8,26,0.0,0.0
8,27,0.0,0.0
8,28,0.0,0.0
8,29,0.0,0.0
8,30,0.0,0.0
8,31,0.0,0.0
8,32,0.0,0.0
9,1,5.0,0.0
9,2,3.5,2.41522945769824
9,3,0.0,0.0
9,4,0.0,0.0
9,5,0.0,0.0
9,6,0.0,0.0
9,7,4.0,2.1081851067789197
9,8,4.5,1.5811388300841898
9,9,0.5,1.5811388300841898
9,10,0.0,0.0
9,11,0.0,0.0
9,12,4.0,2.1081851067789197
9,13,0.5,1.5811388300841898
9,14,0.0,0.0
9,15,0.0,0.0
9,16,0.0,0.0
9,17,5.0,0.0
9,18,5.0,0.0
9,19,0.2,0.6324555320336759
9,20,0.0,0.0
9,21,5.0,0.0
9,22,5.0,0.0
9,23,5.0,0.0
9,24,3.3,1.8885620632287057
9,25,0.0,0.0
9,26,0.0,0.0
9,27,5.0,0.0
9,28,0.0,0.0
9,29,1.0,2.1081851067789197
9,30,0.5,1.5811388300841898
9,31,0.0,0.0
9,32,0.0,0.0
10,1,3.6,0.6992058987801011
10,2,4.0,0.0
10,3,0.0,0.0
10,4,0.0,0.0
10,5,0.0,0.0
10,6,0.0,0.0
10,7,4.3,0.48304589153964794
10,8,3.7,0.6749485577105528
10,9,0.0,0.0
10,10,0.0,0.0
10,11,0.0,0.0
10,12,1.9,0.7378647873726218
10,13,2.8,0.6324555320336759
10,14,0.0,0.0
10,15,0.0,0.0
10,16,0.0,0.0
10,17,5.0,0.0
10,18,5.0,0.0
10,19,5.0,0.0
10,20,2.0,0.0
10,21,5.0,0.0
10,22,5.0,0.0
10,23,5.0,0.0
10,24,5.0,0.0
10,25,2.0,0.0
10,26,0.0,0.0
10,27,0.0,0.0
10,28,0.0,0.0
10,29,5.0,0.0
10,30,0.0,0.0
10,31,0.0,0.0
10,32,0.0,0.0
11,1,4.0,0.0
11,2,4.0,0.0
11,3,0.0,0.0
11,4,0.0,0.0
11,5,0.0,0.0
11,6,0.0,0.0
11,7,3.7,0.48304589153964794
11,8,4.0,0.0
11,9,2.0,0.0
11,10,0.5,0.5270462766947299
11,11,0.0,0.0
11,12,3.6,0.9660917830792959
11,13,4.4,0.5163977794943222
11,14,0.0,0.0
11,15,2.0,0.0
11,16,0.0,0.0
11,17,4.9,0.31622776601683794
11,18,5.0,0.0
11,19,0.0,0.0
11,20,2.0,0.0
11,21,4.0,0.0
11,22,5.0,0.0
11,23,5.0,0.0
11,24,2.9,1.1972189997378648
11,25,2.0,0.0
11,26,0.0,0.0
11,27,0.0,0.0
11,28,0.0,0.0
11,29,5.0,0.0
11,30,1.0,1.0540925533894598
11,31,0.0,0.0
11,32,0.0,0.0
12,1,4.9,0.31622776601683794
12,2,5.0,0.0
12,3,0.0,0.0
12,4,0.0,0.0
12,5,0.0,0.0
12,6,0.0,0.0
12,7,5.0,0.0
12,8,4.9,0.31622776601683794
12,9,0.0,0.0
12,10,0.2,0.42163702135578396
12,11,0.0,0.0
12,12,4.4,0.5163977794943222
12,13,5.0,0.0
12,14,0.0,0.0
12,15,0.2,0.6324555320336759
12,16,0.0,0.0
12,17,5.0,0.0
12,18,5.0,0.0
12,19,2.0,0.0
12,20,3.2,1.3165611772087666
12,21,3.0,2.581988897471611
12,22,5.0,0.0
12,23,5.0,0.0
12,24,5.0,0.0
12,25,2.0,0.0
12,26,0.2,0.6324555320336759
12,27,0.0,0.0
12,28,5.0,0.0
12,29,5.0,0.0
12,30,0.0,0.0
12,31,0.0,0.0
12,32,0.9,1.66332999331662
13,1,0.2,0.6324555320336759
13,2,0.0,0.0
13,3,0.0,0.0
13,4,0.0,0.0
13,5,0.0,0.0
13,6,0.0,0.0
13,7,0.0,0.0
13,8,0.0,0.0
13,9,0.0,0.0
13,10,0.0,0.0
13,11,0.0,0.0
13,12,0.0,0.0
13,13,0.0,0.0
13,14,0.0,0.0
13,15,0.0,0.0
13,16,0.0,0.0
13,17,2.0,0.0
13,18,2.0,0.0
13,19,0.0,0.0
13,20,0.0,0.0
13,21,0.0,0.0
13,22,5.0,0.0
13,23,5.0,0.0
13,24,2.0,0.0
13,25,0.7,0.9486832980505139
13,26,0.0,0.0
13,27,0.0,0.0
13,28,0.0,0.0
13,29,5.0,0.0
13,30,0.0,0.0
13,31,0.0,0.0
13,32,0.0,0.0
14,1,0.0,0.0
14,2,0.0,0.0
14,3,0.0,0.0
14,4,0.0,0.0
14,5,0.0,0.0
14,6,0.0,0.0
14,7,0.0,0.0
14,8,5.0,0.0
14,9,2.0,2.581988897471611
14,10,0.0,0.0
14,11,0.0,0.0
14,12,0.0,0.0
14,13,0.0,0.0
14,14,5.0,0.0
14,15,0.0,0.0
14,16,-0.1,0.31622776601683794
14,17,5.0,0.0
14,18,0.8,2.898275349237888
14,19,0.5,1.5811388300841898
14,20,4.9,0.31622776601683794
14,21,0.8,2.8982753492378874
14,22,5.0,0.0
14,23,5.0,0.0
14,24,5.0,0.0
14,25,4.5,1.5811388300841898
14,26,1.5,2.41522945769824
14,27,0.0,0.0
14,28,-0.8,0.42163702135578396
14,29,-1.0,0.0
14,30,0.0,0.0
14,31,0.0,0.0
14,32,-1.0,0.0
15,1,4.0,0.0
15,2,4.0,0.0
15,3,0.0,0.0
15,4,1.2,0.6324555320336759
15,5,0.0,0.0
15,6,0.0,0.0
15,7,4.0,0.0
15,8,4.0,0.0
15,9,2.5,0.5270462766947299
15,10,1.9,0.31622776601683794
15,11,0.0,0.0
15,12,4.2,0.4216370213557839
15,13,4.3,0.48304589153964794
15,14,0.0,0.0
15,15,2.0,0.0
15,16,0.0,0.0
15,17,4.2,0.4216370213557839
15,18,5.0,0.0
15,19,4.0,0.0
15,20,2.0,0.0
15,21,5.0,0.0
15,22,5.0,0.0
15,23,5.0,0.0
15,24,4.0,0.0
15,25,2.0,0.0
15,26,1.8,0.6324555320336759
15,27,0.8,1.0327955589886446
15,28,5.0,0.0
15,29,5.0,0.0
15,30,0.6,0.9660917830792958
15,31,0.0,0.0
15,32,2.3,0.9486832980505138
16,1,0.6,0.9660917830792958
16,2,0.0,0.0
16,3,0.0,0.0
16,4,0.0,0.0
16,5,0.0,0.0
16,6,0.0,0.0
16,7,0.0,0.0
16,8,0.4,0.8432740427115679
16,9,0.1,0.31622776601683794
16,10,0.0,0.0
16,11,0.0,0.0
16,12,0.0,0.0
16,13,0.0,0.0
16,14,0.0,0.0
16,15,0.0,0.0
16,16,0.0,0.0
16,17,4.3,0.48304589153964794
16,18,4.1,1.449137674618944
16,19,0.0,0.0
16,20,1.8,0.6324555320336759
16,21,4.7,0.9486832980505138
16,22,5.0,0.0
16,23,5.0,0.0
16,24,4.1,0.31622776601683794
16,25,2.0,0.0
16,26,0.0,0.0
16,27,0.0,0.0
16,28,0.0,0.0
16,29,0.2,0.6324555320336759
16,30,0.0,0.0
16,31,0.0,0.0
16,32,0.0,0.0
17,1,5.0,0.0
17,2,5.0,0.0
17,3,0.0,0.0
17,4,0.0,0.0
17,5,0.0,0.0
17,6,0.0,0.0
17,7,5.0,0.0
17,8,4.8,0.4216370213557839
17,9,1.6,0.8432740427115679
17,10,0.0,0.0
17,11,0.0,0.0
17,12,4.9,0.31622776601683794
17,13,2.3,2.057506581601462
17,14,0.0,0.0
17,15,0.0,0.0
17,16,0.0,0.0
17,17,5.0,0.0
17,18,5.0,0.0
17,19,5.0,0.0
17,20,4.5,0.5270462766947299
17,21,5.0,0.0
17,22,5.0,0.0
17,23,5.0,0.0
17,24,5.0,0.0
17,25,4.0,0.0
17,26,0.0,0.0
17,27,0.0,0.0
17,28,5.0,0.0
17,29,5.0,0.0
17,30,0.0,0.0
17,31,0.0,0.0
17,32,5.0,0.0
18,1,4.1,0.31622776601683794
18,2,4.1,0.31622776601683794
18,3,0.8,1.0327955589886446
18,4,0.0,0.0
18,5,0.0,0.0
18,6,0.0,0.0
18,7,4.0,0.816496580927726
18,8,4.5,0.5270462766947299
18,9,1.2,1.0327955589886444
18,10,0.0,0.0
18,11,0.0,0.0
18,12,4.1,0.31622776601683794
18,13,4.0,0.0
18,14,0.0,0.0
18,15,1.0,1.0540925533894598
18,16,0.0,0.0
18,17,4.2,0.4216370213557839
18,18,5.0,0.0
18,19,4.0,0.0
18,20,4.0,0.0
18,21,5.0,0.0
18,22,5.0,0.0
18,23,5.0,0.0
18,24,4.1,0.31622776601683794
18,25,2.0,0.0
18,26,0.0,0.0
18,27,0.0,0.0
18,28,0.0,0.0
18,29,5.0,0.0
18,30,2.0,0.0
18,31,0.0,0.0
18,32,1.8,0.6324555320336759
19,1,4.4,0.5163977794943222
19,2,4.9,0.31622776601683794
19,3,1.6,2.2211108331943574
19,4,1.8,0.6324555320336759
19,5,1.4,0.9660917830792958
19,6,0.0,0.0
19,7,5.0,0.0
19,8,4.8,0.4216370213557839
19,9,4.8,0.4216370213557839
19,10,2.0,0.0
19,11,0.0,0.0
19,12,4.9,0.31622776601683794
19,13,5.0,0.0
19,14,0.6,0.9660917830792958
19,15,2.0,0.0
19,16,4.8,0.4216370213557839
19,17,5.0,0.0
19,18,5.0,0.0
19,19,5.0,0.0
19,20,4.5,0.5270462766947299
19,21,5.0,0.0
19,22,5.0,0.0
19,23,5.0,0.0
19,24,5.0,0.0
19,25,2.0,0.0
19,26,2.9,1.4491376746189437
19,27,0.0,0.0
19,28,5.0,0.0
19,29,5.0,0.0
19,30,0.0,0.0
19,31,0.0,0.0
19,32,2.0,0.0
20,1,0.0,0.0
20,2,0.0,0.0
20,3,0.0,0.0
20,4,0.0,0.0
20,5,0.0,0.0
20,6,0.0,0.0
20,7,0.0,0.0
20,8,0.0,0.0
20,9,0.0,0.0
20,10,0.0,0.0
20,11,0.0,0.0
20,12,0.0,0.0
20,13,0.0,0.0
20,14,0.0,0.0
20,15,0.0,0.0
20,16,0.0,0.0
20,17,1.8,0.6324555320336759
20,18,0.8,1.0327955589886444
20,19,0.2,0.6324555320336759
20,20,5.0,0.0
20,21,5.0,0.0
20,22,5.0,0.0
20,23,4.7,0.9486832980505138
20,24,2.0,0.0
20,25,2.0,0.0
20,26,5.0,0.0
20,27,5.0,0.0
20,28,0.0,0.0
20,29,0.0,0.0
20,30,5.0,0.0
20,31,0.5,1.5811388300841898
20,32,0.0,0.0
21,1,4.0,0.0
21,2,5.0,0.0
21,3,0.4,0.8432740427115679
21,4,1.8,0.6324555320336759
21,5,0.0,0.0
21,6,0.0,0.0
21,7,4.7,0.48304589153964794
21,8,4.0,1.8257418583505538
21,9,2.4,0.6992058987801011
21,10,2.0,0.0
21,11,0.2,0.6324555320336759
21,12,4.3,1.0593499054713802
21,13,4.8,0.4216370213557839
21,14,0.0,0.0
21,15,1.6,0.8432740427115678
21,16,0.0,0.0
21,17,5.0,0.0
21,18,5.0,0.0
21,19,4.9,0.31622776601683794
21,20,4.0,0.0
21,21,5.0,0.0
21,22,5.0,0.0
21,23,5.0,0.0
21,24,5.0,0.0
21,25,2.0,0.0
21,26,0.0,0.0
21,27,0.0,0.0
21,28,5.0,0.0
21,29,5.0,0.0
21,30,1.4,0.9660917830792958
21,31,0.0,0.0
21,32,0.0,0.0
22,1,2.1,0.31622776601683794
22,2,2.5,0.5270462766947299
22,3,0.0,0.0
22,4,0.0,0.0
22,5,0.0,0.0
22,6,0.0,0.0
22,7,3.7,1.636391694484477
22,8,4.7,0.48304589153964794
22,9,0.0,0.0
22,10,0.0,0.0
22,11,0.0,0.0
22,12,0.0,0.0
22,13,0.0,0.0
22,14,0.0,0.0
22,15,1.6,0.8432740427115678
22,16,-0.1,0.31622776601683794
22,17,4.3,0.48304589153964794
22,18,5.0,0.0
22,19,4.8,0.4216370213557839
22,20,4.0,0.0
22,21,4.4,1.2649110640673518
22,22,5.0,0.0
22,23,5.0,0.0
22,24,3.8,1.0327955589886446
22,25,2.0,0.0
22,26,0.4,0.8432740427115679
22,27,0.0,0.0
22,28,0.0,0.0
22,29,5.0,0.0
22,30,2.0,0.0
22,31,0.0,0.0
22,32,0.0,0.0
23,1,4.9,0.31622776601683794
23,2,5.0,0.0
23,3,0.0,0.0
23,4,0.0,0.0
23,5,0.0,0.0
23,6,0.0,0.0
23,7,4.8,0.6324555320336759
23,8,3.5,1.0801234497346435
23,9,0.6,0.9660917830792958
23,10,0.0,0.0
23,11,0.0,0.0
23,12,2.9,0.9944289260117531
23,13,4.7,0.48304589153964794
23,14,0.0,0.0
23,15,1.6,0.8432740427115679
23,16,0.0,0.0
23,17,5.0,0.0
23,18,5.0,0.0
23,19,4.3,0.48304589153964794
23,20,4.1,0.31622776601683794
23,21,5.0,0.0
23,22,5.0,0.0
23,23,5.0,0.0
23,24,5.0,0.0
23,25,3.1,1.1972189997378648
23,26,0.4,0.8432740427115679
23,27,0.0,0.0
23,28,0.0,0.0
23,29,5.0,0.0
23,30,1.8,0.6324555320336759
23,31,0.0,0.0
23,32,0.2,0.6324555320336759
24,1,4.3,0.48304589153964794
24,2,4.6,0.5163977794943222
24,3,0.0,0.0
24,4,2.2,0.9189365834726815
24,5,0.0,0.0
24,6,0.0,0.0
24,7,5.0,0.0
24,8,5.0,0.0
24,9,4.9,0.31622776601683794
24,10,0.0,0.0
24,11,0.0,0.0
24,12,4.4,0.5163977794943222
24,13,4.8,0.4216370213557839
24,14,4.1,0.31622776601683794
24,15,0.4,0.8432740427115679
24,16,0.0,0.0
24,17,5.0,0.0
24,18,5.0,0.0
24,19,5.0,0.0
24,20,5.0,0.0
24,21,5.0,0.0
24,22,5.0,0.0
24,23,5.0,0.0
24,24,5.0,0.0
24,25,5.0,0.0
24,26,0.0,0.0
24,27,0.0,0.0
24,28,5.0,0.0
24,29,5.0,0.0
24,30,5.0,0.0
24,31,0.0,0.0
24,32,0.8,1.0327955589886446
25,1,0.0,0.0
25,2,0.0,0.0
25,3,0.0,0.0
25,4,0.0,0.0
25,5,0.0,0.0
25,6,0.0,0.0
25,7,0.0,0.0
25,8,0.0,0.0
25,9,0.0,0.0
25,10,5.0,0.0
25,11,0.0,0.0
25,12,0.0,0.0
25,13,0.0,0.0
25,14,0.0,0.0
25,15,0.5,1.0801234497346435
25,16,5.0,0.0
25,17,2.3,0.9486832980505138
25,18,4.0,1.632993161855452
25,19,5.0,0.0
25,20,5.0,0.0
25,21,5.0,0.0
25,22,5.0,0.0
25,23,4.0,1.632993161855452
25,24,4.7,0.9486832980505138
25,25,4.7,0.9486832980505138
25,26,3.6,2.270584848790187
25,27,4.5,1.5811388300841898
25,28,5.0,0.0
25,29,5.0,0.0
25,30,0.0,0.0
25,31,1.5,2.41522945769824
25,32,3.2,1.5491933384829668
26,1,4.1,0.31622776601683794
26,2,4.0,0.0
26,3,0.0,0.0
26,4,0.2,0.42163702135578396
26,5,0.0,0.0
26,6,0.0,0.0
26,7,5.0,0.0
26,8,4.2,1.2292725943057183
26,9,2.0,0.0
26,10,0.0,0.0
26,11,0.0,0.0
26,12,3.9,0.7378647873726218
26,13,2.0,0.0
26,14,1.3,0.9486832980505138
26,15,0.0,0.0
26,16,0.0,0.0
26,17,5.0,0.0
26,18,5.0,0.0
26,19,5.0,0.0
26,20,5.0,0.0
26,21,5.0,0.0
26,22,5.0,0.0
26,23,5.0,0.0
26,24,5.0,0.0
26,25,3.6,0.8432740427115679
26,26,2.0,0.0
26,27,0.0,0.0
26,28,0.0,0.0
26,29,5.0,0.0
26,30,2.0,0.0
26,31,0.0,0.0
26,32,2.9,1.4491376746189437
27,1,2.6,1.2649110640673518
27,2,4.4,0.5163977794943222
27,3,0.0,0.0
27,4,0.0,0.0
27,5,0.0,0.0
27,6,0.0,0.0
27,7,5.0,0.0
27,8,5.0,0.0
27,9,0.0,0.0
27,10,0.0,0.0
27,11,0.0,0.0
27,12,0.0,0.0
27,13,5.0,0.0
27,14,0.0,0.0
27,15,2.6,2.1186998109427604
27,16,0.0,0.0
27,17,5.0,0.0
27,18,5.0,0.0
27,19,2.0,0.0
27,20,0.8,1.0327955589886444
27,21,5.0,0.0
27,22,5.0,0.0
27,23,5.0,0.0
27,24,5.0,0.0
27,25,2.0,0.0
27,26,0.0,0.0
27,27,0.0,0.0
27,28,2.0,2.581988897471611
27,29,5.0,0.0
27,30,0.0,0.0
27,31,0.0,0.0
27,32,-1.0,0.0
28,1,1.9,0.31622776601683794
28,2,1.8,0.6324555320336759
28,3,0.0,0.0
28,4,0.0,0.0
28,5,0.0,0.0
28,6,0.0,0.0
28,7,1.8,0.6324555320336759
28,8,4.6,0.8432740427115678
28,9,0.6,0.9660917830792958
28,10,0.0,0.0
28,11,0.0,0.0
28,12,1.8,0.6324555320336759
28,13,1.4,0.9660917830792958
28,14,0.0,0.0
28,15,0.0,0.0
28,16,0.0,0.0
28,17,5.0,0.0
28,18,5.0,0.0
28,19,2.0,0.0
28,20,5.0,0.0
28,21,4.7,0.9486832980505138
28,22,5.0,0.0
28,23,5.0,0.0
28,24,5.0,0.0
28,25,2.0,0.0
28,26,1.8,0.6324555320336759
28,27,0.0,0.0
28,28,0.2,0.6324555320336759
28,29,5.0,0.0
28,30,1.0,1.0540925533894598
28,31,0.2,0.6324555320336759
28,32,2.0,0.0
29,1,-0.5,0.97182531580755
29,2,0.0,0.0
29,3,-0.4,0.5163977794943223
29,4,0.0,0.0
29,5,0.0,0.0
29,6,0.0,0.0
29,7,0.0,0.0
29,8,-0.9,0.31622776601683794
29,9,0.0,0.0
29,10,0.0,0.0
29,11,-0.8,0.4216370213557839
29,12,-0.3,0.48304589153964794
29,13,0.0,0.0
29,14,-0.2,0.42163702135578396
29,15,0.0,0.0
29,16,0.0,0.0
29,17,3.5,1.5811388300841898
29,18,5.0,0.0
29,19,1.8,0.6324555320336759
29,20,2.6,1.0749676997731399
29,21,2.6,1.776388345929897
29,22,5.0,0.0
29,23,5.0,0.0
29,24,2.0,0.0
29,25,1.9,0.31622776601683794
29,26,2.0,0.0
29,27,1.5,0.8498365855987975
29,28,-0.1,0.31622776601683794
29,29,5.0,0.0
29,30,2.0,0.0
29,31,0.0,0.0
29,32,0.0,0.0
30,1,0.0,0.0
30,2,5.0,0.0
30,3,0.0,0.0
30,4,0.0,0.0
30,5,0.0,0.0
30,6,0.0,0.0
30,7,0.0,0.0
30,8,5.0,0.0
30,9,0.0,0.0
30,10,0.0,0.0
30,11,0.0,0.0
30,12,0.0,0.0
30,13,5.0,0.0
30,14,0.0,0.0
30,15,0.0,0.0
30,16,0.0,0.0
30,17,4.7,0.9486832980505138
30,18,5.0,0.0
30,19,5.0,0.0
30,20,4.4,1.2649110640673518
30,21,5.0,0.0
30,22,5.0,0.0
30,23,5.0,0.0
30,24,5.0,0.0
30,25,0.8,1.0327955589886446
30,26,1.6,0.8432740427115678
30,27,0.0,0.0
30,28,5.0,0.0
30,29,4.0,1.632993161855452
30,30,0.2,0.6324555320336759
30,31,0.1,0.31622776601683794
30,32,0.0,0.0
31,1,4.0,0.0
31,2,4.0,0.0
31,3,0.0,0.0
31,4,1.3,0.6749485577105528
31,5,0.0,0.0
31,6,0.0,0.0
31,7,4.0,0.0
31,8,4.0,0.0
31,9,2.1,0.31622776601683794
31,10,1.9,0.31622776601683794
31,11,0.0,0.0
31,12,4.0,0.0
31,13,4.0,0.0
31,14,0.9,0.8755950357709132
31,15,2.0,0.0
31,16,0.0,0.0
31,17,5.0,0.0
31,18,5.0,0.0
31,19,4.0,0.0
31,20,2.0,0.0
31,21,5.0,0.0
31,22,5.0,0.0
31,23,5.0,0.0
31,24,4.2,0.4216370213557839
31,25,2.0,0.0
31,26,0.0,0.0
31,27,0.0,0.0
31,28,2.5,2.6352313834736494
31,29,5.0,0.0
31,30,2.0,0.0
31,31,0.0,0.0
31,32,0.0,0.0
32,1,0.0,0.0
32,2,0.6,0.9660917830792958
32,3,0.0,0.0
32,4,0.0,0.0
32,5,0.0,0.0
32,6,0.0,0.0
32,7,0.0,0.0
32,8,0.2,0.6324555320336759
32,9,0.0,0.0
32,10,0.0,0.0
32,11,0.0,0.0
32,12,0.0,0.0
32,13,0.0,0.0
32,14,0.0,0.0
32,15,0.0,0.0
32,16,0.0,0.0
32,17,5.0,0.0
32,18,5.0,0.0
32,19,4.0,0.0
32,20,2.0,0.0
32,21,5.0,0.0
32,22,5.0,0.0
32,23,5.0,0.0
32,24,5.0,0.0
32,25,2.0,0.0
32,26,0.0,0.0
32,27,0.0,0.0
32,28,5.0,0.0
