persona,question,average_score,uncertainty,relative_score
7,5,3.4,0.5163977794943223,0.3999999999999999
7,6,5.0,0.0,0.0
7,7,4.0,0.0,0.0
7,8,4.0,0.0,1.0
7,9,3.0,0.0,0.0
7,10,4.0,0.0,1.0
7,11,4.1,0.31622776601683794,0.9000000000000004
7,12,5.0,0.0,0.0
7,13,4.0,0.0,1.0
7,14,4.0,0.0,0.0
7,15,3.0,0.0,0.20000000000000018
7,16,5.0,0.0,0.0
7,17,5.0,0.0,0.0
7,18,5.0,0.0,0.5999999999999996
7,19,3.9,0.31622776601683794,0.10000000000000009
7,20,4.0,0.0,0.20000000000000018
7,21,5.0,0.0,0.0
7,22,5.0,0.0,0.0
7,23,4.0,0.0,1.1
7,24,2.0,0.0,0.5
7,25,3.0,0.0,0.0
7,26,5.0,0.0,0.0
7,27,4.5,0.5270462766947299,0.5
7,28,3.6,0.5163977794943223,0.6000000000000001
7,29,2.1,0.31622776601683794,1.4
7,30,3.0,0.0,0.8999999999999999
8,1,4.0,0.0,1.0
8,2,4.0,0.0,0.40000000000000036
8,3,4.0,0.0,1.0
8,4,3.0,0.0,0.8999999999999999
8,5,3.0,0.0,0.0
8,6,4.0,0.0,1.0
8,7,4.0,0.0,0.0
8,8,4.0,0.0,1.0
8,9,3.0,0.0,0.0
8,10,3.0,0.0,0.0
8,11,4.0,0.0,1.0
8,12,4.0,0.0,1.0
8,13,3.0,0.0,0.0
8,14,4.0,0.0,0.0
8,15,3.9,0.31622776601683794,0.6999999999999997
8,16,5.0,0.0,0.0
8,17,5.0,0.0,0.0
8,18,5.0,0.0,0.5999999999999996
8,19,4.0,0.0,0.0
8,20,3.0,0.0,0.7999999999999998
8,21,5.0,0.0,0.0
8,22,4.0,0.0,1.0
8,23,4.0,0.0,1.1
8,24,3.0,0.0,1.5
8,25,2.0,0.0,1.0
8,26,5.0,0.0,0.0
8,27,3.1,0.31622776601683794,1.9
8,28,4.0,0.0,1.0
8,29,3.9,0.31622776601683794,0.3999999999999999
8,30,3.0,0.0,0.8999999999999999
9,1,4.0,0.0,1.0
9,2,4.0,0.0,0.40000000000000036
9,3,3.0,0.0,0.0
9,4,3.0,0.0,0.8999999999999999
9,5,3.0,0.0,0.0
9,6,4.0,0.0,1.0
9,7,4.0,0.0,0.0
9,8,4.0,0.0,1.0
9,9,3.4,0.5163977794943223,0.3999999999999999
9,10,4.0,0.0,1.0
9,11,4.0,0.0,1.0
9,12,4.0,0.0,1.0
9,13,3.1,0.31622776601683794,0.10000000000000009
9,14,4.0,0.0,0.0
9,15,3.1,0.31622776601683794,0.10000000000000009
9,16,5.0,0.0,0.0
9,17,4.1,0.31622776601683794,0.9000000000000004
9,18,4.0,0.0,0.40000000000000036
9,19,3.2,0.4216370213557839,0.7999999999999998
9,20,4.0,0.0,0.20000000000000018
9,21,5.0,0.0,0.0
9,22,4.0,0.0,1.0
9,23,3.0,0.0,0.10000000000000009
9,24,3.0,0.0,1.5
9,25,3.0,0.0,0.0
9,26,5.0,0.0,0.0
9,27,4.0,0.0,1.0
9,28,3.0,0.0,0.0
9,29,3.0,0.0,0.5
9,30,3.0,0.0,0.8999999999999999
10,1,4.0,0.0,1.0
10,2,4.0,0.0,0.40000000000000036
10,3,4.0,0.0,1.0
10,4,3.0,0.0,0.8999999999999999
10,5,4.0,0.0,1.0
10,6,5.0,0.0,0.0
10,7,4.0,0.0,0.0
10,8,4.0,0.0,1.0
10,9,3.0,0.0,0.0
10,10,3.8,0.4216370213557839,0.7999999999999998
10,11,4.0,0.0,1.0
10,12,5.0,0.0,0.0
10,13,4.0,0.0,1.0
10,14,4.0,0.0,0.0
10,15,2.2,0.4216370213557839,1.0
10,16,5.0,0.0,0.0
10,17,5.0,0.0,0.0
10,18,4.0,0.0,0.40000000000000036
10,19,3.9,0.31622776601683794,0.10000000000000009
10,20,4.0,0.0,0.20000000000000018
10,21,5.0,0.0,0.0
10,22,5.0,0.0,0.0
10,23,3.2,0.4216370213557839,0.30000000000000027
10,24,1.2,1.0327955589886446,0.30000000000000004
10,25,3.0,0.0,0.0
10,26,5.0,0.0,0.0
10,27,4.1,0.31622776601683794,0.9000000000000004
10,28,3.0,0.0,0.0
10,29,1.5,0.5270462766947299,2.0
10,30,2.0,0.0,1.9
11,1,4.0,0.0,1.0
11,2,4.0,0.0,0.40000000000000036
11,3,3.0,0.0,0.0
11,4,3.0,0.0,0.8999999999999999
11,5,3.0,0.0,0.0
11,6,4.0,0.0,1.0
11,7,4.0,0.0,0.0
11,8,4.0,0.0,1.0
11,9,3.0,0.0,0.0
11,10,3.7,0.48304589153964794,0.7000000000000002
11,11,4.0,0.0,1.0
11,12,5.0,0.0,0.0
11,13,3.0,0.0,0.0
11,14,4.0,0.0,0.0
11,15,3.0,0.0,0.20000000000000018
11,16,5.0,0.0,0.0
11,17,5.0,0.0,0.0
11,18,3.0,0.0,1.4000000000000004
11,19,3.0,0.0,1.0
11,20,3.0,0.0,0.7999999999999998
11,21,5.0,0.0,0.0
11,22,4.0,0.0,1.0
11,23,3.0,0.0,0.10000000000000009
11,24,2.0,0.0,0.5
11,25,2.0,0.0,1.0
11,26,5.0,0.0,0.0
11,27,4.0,0.0,1.0
11,28,3.6,0.5163977794943223,0.6000000000000001
11,29,1.8,0.4216370213557839,1.7
11,30,2.1,0.31622776601683794,1.7999999999999998
12,1,4.9,0.31622776601683794,0.09999999999999964
12,2,5.0,0.0,0.5999999999999996
12,3,3.0,0.0,0.0
12,4,3.0,0.0,0.8999999999999999
12,5,3.0,0.0,0.0
12,6,5.0,0.0,0.0
12,7,4.5,0.5270462766947299,0.5
12,8,4.0,0.0,1.0
12,9,3.0,0.0,0.0
12,10,3.1,0.31622776601683794,0.10000000000000009
12,11,5.0,0.0,0.0
12,12,5.0,0.0,0.0
12,13,4.0,0.0,1.0
12,14,4.0,0.0,0.0
12,15,4.0,0.0,0.7999999999999998
12,16,5.0,0.0,0.0
12,17,5.0,0.0,0.0
12,18,4.0,0.0,0.40000000000000036
12,19,4.0,0.0,0.0
12,20,4.0,0.0,0.20000000000000018
12,21,5.0,0.0,0.0
12,22,5.0,0.0,0.0
12,23,4.0,0.0,1.1
12,24,3.0,0.0,1.5
12,25,2.0,0.0,1.0
12,26,5.0,0.0,0.0
12,27,5.0,0.0,0.0
12,28,4.0,0.0,1.0
12,29,0.2,0.42163702135578396,3.3
12,30,3.7,0.48304589153964794,0.19999999999999973
13,1,5.0,0.0,0.0
13,2,5.0,0.0,0.5999999999999996
13,3,2.9,0.31622776601683794,0.10000000000000009
13,4,3.0,0.0,0.8999999999999999
13,5,3.0,0.0,0.0
13,6,5.0,0.0,0.0
13,7,4.5,0.5270462766947299,0.5
13,8,4.0,0.0,1.0
13,9,2.0,0.0,1.0
13,10,3.2,0.4216370213557839,0.20000000000000018
13,11,5.0,0.0,0.0
13,12,5.0,0.0,0.0
13,13,3.8,0.4216370213557839,0.7999999999999998
13,14,4.0,0.0,0.0
13,15,0.0,0.0,3.2
13,16,5.0,0.0,0.0
13,17,5.0,0.0,0.0
13,18,3.0,0.0,1.4000000000000004
13,19,1.4,0.5163977794943223,2.6
13,20,2.0,0.0,1.7999999999999998
13,21,5.0,0.0,0.0
13,22,5.0,0.0,0.0
13,23,3.0,0.0,0.10000000000000009
13,24,0.0,0.0,1.5
13,25,2.0,0.0,1.0
13,26,5.0,0.0,0.0
13,27,5.0,0.0,0.0
13,28,2.0,0.0,1.0
13,29,0.0,0.0,3.5
13,30,0.0,0.0,3.9
14,1,4.0,0.0,1.0
14,2,4.9,0.31622776601683794,0.5
14,3,4.0,0.0,1.0
14,4,3.6,0.5163977794943223,1.5
14,5,3.9,0.31622776601683794,0.8999999999999999
14,6,5.0,0.0,0.0
14,7,5.0,0.0,1.0
14,8,5.0,0.0,2.0
14,9,3.1,0.31622776601683794,0.10000000000000009
14,10,4.0,0.0,1.0
14,11,5.0,0.0,0.0
14,12,5.0,0.0,0.0
14,13,5.0,0.0,2.0
14,14,4.7,0.48304589153964794,0.7000000000000002
14,15,3.6,0.5163977794943223,0.3999999999999999
14,16,5.0,0.0,0.0
14,17,5.0,0.0,0.0
14,18,5.0,0.0,0.5999999999999996
14,19,4.0,0.0,0.0
14,20,3.2,0.4216370213557839,0.5999999999999996
14,21,5.0,0.0,0.0
14,22,5.0,0.0,0.0
14,23,4.0,0.0,1.1
14,24,0.0,0.0,1.5
14,25,2.9,0.31622776601683794,0.10000000000000009
14,26,5.0,0.0,0.0
14,27,4.0,0.0,1.0
14,28,5.0,0.0,2.0
14,29,0.0,0.0,3.5
14,30,3.0,0.0,0.8999999999999999
15,1,4.0,0.0,1.0
15,2,4.0,0.0,0.40000000000000036
15,3,3.0,0.0,0.0
15,4,3.0,0.0,0.8999999999999999
15,5,3.0,0.0,0.0
15,6,4.7,0.48304589153964794,0.2999999999999998
15,7,4.0,0.0,0.0
15,8,4.0,0.0,1.0
15,9,3.0,0.0,0.0
15,10,3.0,0.0,0.0
15,11,4.0,0.0,1.0
15,12,5.0,0.0,0.0
15,13,3.0,0.0,0.0
15,14,4.0,0.0,0.0
15,15,3.0,0.0,0.20000000000000018
15,16,5.0,0.0,0.0
15,17,5.0,0.0,0.0
15,18,4.0,0.0,0.40000000000000036
15,19,4.0,0.0,0.0
15,20,4.0,0.0,0.20000000000000018
15,21,5.0,0.0,0.0
15,22,4.0,0.0,1.0
15,23,3.0,0.0,0.10000000000000009
15,24,2.0,0.0,0.5
15,25,2.0,0.0,1.0
15,26,5.0,0.0,0.0
15,27,4.0,0.0,1.0
15,28,4.0,0.0,1.0
15,29,1.0,0.0,2.5
15,30,3.0,0.0,0.8999999999999999
16,1,3.1,0.31622776601683794,1.9
16,2,4.0,0.0,0.40000000000000036
16,3,3.0,0.0,0.0
16,4,3.0,0.0,0.8999999999999999
16,5,3.0,0.0,0.0
16,6,4.0,0.0,1.0
16,7,3.8,0.4216370213557839,0.20000000000000018
16,8,3.0,0.0,0.0
16,9,3.0,0.0,0.0
16,10,3.5,0.5270462766947299,0.5
16,11,4.1,0.31622776601683794,0.9000000000000004
16,12,5.0,0.0,0.0
16,13,3.0,0.0,0.0
16,14,3.0,0.0,1.0
16,15,3.0,0.0,0.20000000000000018
16,16,4.4,0.5163977794943222,0.5999999999999996
16,17,4.8,0.4216370213557839,0.20000000000000018
16,18,2.0,0.0,2.4000000000000004
16,19,2.0,0.0,2.0
16,20,2.1,0.31622776601683794,1.6999999999999997
16,21,5.0,0.0,0.0
16,22,4.0,0.0,1.0
16,23,1.6,0.5163977794943223,1.2999999999999998
16,24,0.0,0.0,1.5
16,25,2.0,0.0,1.0
16,26,4.6,0.5163977794943222,0.40000000000000036
16,27,4.0,0.0,1.0
16,28,2.0,0.0,1.0
16,29,1.0,0.0,2.5
16,30,1.9,0.31622776601683794,2.0
17,1,5.0,0.0,0.0
17,2,5.0,0.0,0.5999999999999996
17,3,4.0,0.0,1.0
17,4,3.0,0.0,0.8999999999999999
17,5,4.0,0.0,1.0
17,6,5.0,0.0,0.0
17,7,4.0,0.0,0.0
17,8,4.0,0.0,1.0
17,9,3.0,0.0,0.0
17,10,3.6,0.5163977794943223,0.6000000000000001
17,11,5.0,0.0,0.0
17,12,5.0,0.0,0.0
17,13,4.0,0.0,1.0
17,14,4.0,0.0,0.0
17,15,4.0,0.0,0.7999999999999998
17,16,5.0,0.0,0.0
17,17,5.0,0.0,0.0
17,18,4.4,0.5163977794943222,0.0
17,19,4.0,0.0,0.0
17,20,4.0,0.0,0.20000000000000018
17,21,5.0,0.0,0.0
17,22,5.0,0.0,0.0
17,23,4.0,0.0,1.1
17,24,2.4,0.5163977794943223,0.8999999999999999
17,25,2.7,0.48304589153964794,0.2999999999999998
17,26,5.0,0.0,0.0
17,27,5.0,0.0,0.0
17,28,4.0,0.0,1.0
17,29,2.0,0.0,1.5
17,30,3.0,0.0,0.8999999999999999
18,1,4.0,0.0,1.0
18,2,5.0,0.0,0.5999999999999996
18,3,4.0,0.0,1.0
18,4,3.0,0.0,0.8999999999999999
18,5,3.0,0.0,0.0
18,6,4.9,0.31622776601683794,0.09999999999999964
18,7,4.0,0.0,0.0
18,8,4.0,0.0,1.0
18,9,3.0,0.0,0.0
18,10,3.8,0.4216370213557839,0.7999999999999998
18,11,5.0,0.0,0.0
18,12,5.0,0.0,0.0
18,13,3.4,0.5163977794943223,0.3999999999999999
18,14,4.0,0.0,0.0
18,15,3.9,0.31622776601683794,0.6999999999999997
18,16,5.0,0.0,0.0
18,17,5.0,0.0,0.0
18,18,4.0,0.0,0.40000000000000036
18,19,4.0,0.0,0.0
18,20,3.5,0.5270462766947299,0.2999999999999998
18,21,5.0,0.0,0.0
18,22,5.0,0.0,0.0
18,23,4.0,0.0,1.1
18,24,0.0,0.0,1.5
18,25,2.4,0.5163977794943223,0.6000000000000001
18,26,5.0,0.0,0.0
18,27,5.0,0.0,0.0
18,28,4.0,0.0,1.0
18,29,2.5,0.5270462766947299,1.0
18,30,3.0,0.0,0.8999999999999999
19,1,5.0,0.0,0.0
19,2,5.0,0.0,0.5999999999999996
19,3,4.0,0.0,1.0
19,4,3.0,0.0,0.8999999999999999
19,5,4.0,0.0,1.0
19,6,5.0,0.0,0.0
19,7,4.0,0.0,0.0
19,8,4.0,0.0,1.0
19,9,3.1,0.31622776601683794,0.10000000000000009
19,10,4.0,0.0,1.0
19,11,5.0,0.0,0.0
19,12,5.0,0.0,0.0
19,13,4.0,0.0,1.0
19,14,4.0,0.0,0.0
19,15,4.9,0.31622776601683794,1.7000000000000002
19,16,5.0,0.0,0.0
19,17,5.0,0.0,0.0
19,18,5.0,0.0,0.5999999999999996
19,19,3.8,0.4216370213557839,0.20000000000000018
19,20,4.0,0.0,0.20000000000000018
19,21,5.0,0.0,0.0
19,22,5.0,0.0,0.0
19,23,4.0,0.0,1.1
19,24,2.0,0.0,0.5
19,25,2.9,0.31622776601683794,0.10000000000000009
19,26,5.0,0.0,0.0
19,27,5.0,0.0,0.0
19,28,2.9,0.31622776601683794,0.10000000000000009
19,29,1.7,0.4830458915396479,1.8
19,30,4.0,0.0,0.10000000000000009
20,1,3.0,0.0,2.0
20,2,3.2,0.4216370213557839,1.2000000000000002
20,3,2.0,0.0,1.0
20,4,3.0,0.0,0.8999999999999999
20,5,4.0,0.0,1.0
20,6,3.0,0.0,2.0
20,7,3.3,0.48304589153964794,0.7000000000000002
20,8,3.8,0.4216370213557839,0.7999999999999998
20,9,4.0,0.0,1.0
20,10,4.0,0.0,1.0
20,11,4.0,0.0,1.0
20,12,3.0,0.0,2.0
20,13,4.0,0.0,1.0
20,14,4.0,0.0,0.0
20,15,2.0,0.0,1.2000000000000002
20,16,2.9,0.31622776601683794,2.1
20,17,4.0,0.0,1.0
20,18,4.0,0.0,0.40000000000000036
20,19,5.0,0.0,1.0
20,20,4.0,0.0,0.20000000000000018
20,21,5.0,0.0,0.0
20,22,2.7,0.48304589153964794,2.3
20,23,4.0,0.0,1.1
20,24,3.0,0.0,1.5
20,25,4.0,0.0,1.0
20,26,5.0,0.0,0.0
20,27,1.8,0.6324555320336759,3.2
20,28,5.0,0.0,2.0
20,29,5.0,0.0,1.5
20,30,2.0,0.0,1.9
21,1,4.0,0.0,1.0
21,2,4.0,0.0,0.40000000000000036
21,3,4.0,0.0,1.0
21,4,3.0,0.0,0.8999999999999999
21,5,3.0,0.0,0.0
21,6,4.4,0.5163977794943222,0.5999999999999996
21,7,4.0,0.0,0.0
21,8,4.0,0.0,1.0
21,9,3.1,0.31622776601683794,0.10000000000000009
21,10,3.0,0.0,0.0
21,11,4.0,0.0,1.0
21,12,5.0,0.0,0.0
21,13,3.0,0.0,0.0
21,14,4.0,0.0,0.0
21,15,3.0,0.0,0.20000000000000018
21,16,5.0,0.0,0.0
21,17,5.0,0.0,0.0
21,18,4.0,0.0,0.40000000000000036
21,19,4.0,0.0,0.0
21,20,3.9,0.31622776601683794,0.10000000000000009
21,21,5.0,0.0,0.0
21,22,4.9,0.31622776601683794,0.09999999999999964
21,23,4.0,0.0,1.1
21,24,3.0,0.0,1.5
21,25,2.1,0.31622776601683794,0.8999999999999999
21,26,5.0,0.0,0.0
21,27,4.0,0.0,1.0
21,28,3.1,0.31622776601683794,0.10000000000000009
21,29,2.0,0.0,1.5
21,30,3.0,0.0,0.8999999999999999
22,1,4.0,0.0,1.0
22,2,4.0,0.0,0.40000000000000036
22,3,3.0,0.0,0.0
22,4,3.0,0.0,0.8999999999999999
22,5,3.0,0.0,0.0
22,6,4.0,0.0,1.0
22,7,4.0,0.0,0.0
22,8,4.0,0.0,1.0
22,9,3.0,0.0,0.0
22,10,3.0,0.0,0.0
22,11,4.0,0.0,1.0
22,12,5.0,0.0,0.0
22,13,3.0,0.0,0.0
22,14,4.0,0.0,0.0
22,15,3.0,0.0,0.20000000000000018
22,16,4.8,0.4216370213557839,0.20000000000000018
22,17,5.0,0.0,0.0
22,18,4.0,0.0,0.40000000000000036
22,19,4.0,0.0,0.0
22,20,3.3,0.48304589153964794,0.5
22,21,5.0,0.0,0.0
22,22,4.3,0.48304589153964794,0.7000000000000002
22,23,3.0,0.0,0.10000000000000009
22,24,3.0,0.0,1.5
22,25,2.0,0.0,1.0
22,26,4.3,0.48304589153964794,0.7000000000000002
22,27,4.0,0.0,1.0
22,28,4.0,0.0,1.0
22,29,2.5,0.5270462766947299,1.0
22,30,2.1,0.31622776601683794,1.7999999999999998
23,1,4.0,0.0,1.0
23,2,5.0,0.0,0.5999999999999996
23,3,4.0,0.0,1.0
23,4,3.0,0.0,0.8999999999999999
23,5,4.0,0.0,1.0
23,6,5.0,0.0,0.0
23,7,4.0,0.0,0.0
23,8,4.0,0.0,1.0
23,9,3.0,0.0,0.0
23,10,4.0,0.0,1.0
23,11,4.9,0.31622776601683794,0.09999999999999964
23,12,5.0,0.0,0.0
23,13,3.0,0.0,0.0
23,14,4.0,0.0,0.0
23,15,4.0,0.0,0.7999999999999998
23,16,5.0,0.0,0.0
23,17,5.0,0.0,0.0
23,18,4.0,0.0,0.40000000000000036
23,19,4.0,0.0,0.0
23,20,4.0,0.0,0.20000000000000018
23,21,5.0,0.0,0.0
23,22,4.5,0.5270462766947299,0.5
23,23,3.6,0.5163977794943223,0.7000000000000002
23,24,2.0,0.0,0.5
23,25,2.0,0.0,1.0
23,26,5.0,0.0,0.0
23,27,4.0,0.0,1.0
23,28,4.0,0.0,1.0
23,29,2.0,0.0,1.5
23,30,3.0,0.0,0.8999999999999999
24,1,4.0,0.0,1.0
24,2,4.0,0.0,0.40000000000000036
24,3,4.0,0.0,1.0
24,4,3.1,0.31622776601683794,1.0
24,5,4.0,0.0,1.0
24,6,4.8,0.4216370213557839,0.20000000000000018
24,7,4.0,0.0,0.0
24,8,4.0,0.0,1.0
24,9,3.0,0.0,0.0
24,10,4.0,0.0,1.0
24,11,5.0,0.0,0.0
24,12,5.0,0.0,0.0
24,13,4.0,0.0,1.0
24,14,4.0,0.0,0.0
24,15,4.0,0.0,0.7999999999999998
24,16,5.0,0.0,0.0
24,17,5.0,0.0,0.0
24,18,4.8,0.4216370213557839,0.39999999999999947
24,19,4.0,0.0,0.0
24,20,4.0,0.0,0.20000000000000018
24,21,5.0,0.0,0.0
24,22,5.0,0.0,0.0
24,23,4.0,0.0,1.1
24,24,3.0,0.0,1.5
24,25,3.0,0.0,0.0
24,26,5.0,0.0,0.0
24,27,4.0,0.0,1.0
24,28,4.0,0.0,1.0
24,29,3.0,0.0,0.5
24,30,3.0,0.0,0.8999999999999999
25,1,3.2,0.4216370213557839,1.7999999999999998
25,2,3.2,0.4216370213557839,1.2000000000000002
25,3,4.0,0.0,1.0
25,4,4.0,0.0,1.9
25,5,5.0,0.0,2.0
25,6,4.0,0.0,1.0
25,7,4.1,0.31622776601683794,0.09999999999999964
25,8,4.0,0.0,1.0
25,9,5.0,0.0,2.0
25,10,5.0,0.0,2.0
25,11,5.0,0.0,0.0
25,12,3.9,0.31622776601683794,1.1
25,13,4.0,0.0,1.0
25,14,5.0,0.0,1.0
